DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
220.9500,211.1180,-9.8320,-4.4499,0.0000,0.0000,0.0000
266.6200,259.9730,-6.6470,-2.4931,0.0014,0.2660,0.2646
361.7340,370.3030,8.5690,2.3689,0.1548,0.1499,-0.0049
439.0890,419.9180,-19.1710,-4.3661,0.0018,0.0001,-0.0016
473.9580,454.8500,-19.1080,-4.0316,0.1525,0.0061,-0.1464
528.2000,513.2710,-14.9290,-2.8264,0.0001,0.0006,0.0005
582.9910,581.2820,-1.7090,-0.2931,0.0000,0.0000,0.0000
632.6050,634.1270,1.5220,0.2406,0.0265,0.0377,0.0112
722.3940,745.8900,23.4960,3.2525,5.0080,5.4928,0.4848
725.9600,742.9040,16.9440,2.3340,0.0011,0.0019,0.0008
850.4030,875.3400,24.9370,2.9324,1.1901,0.0672,-1.1229
864.8510,900.6360,35.7850,4.1377,0.0000,0.0000,0.0000
884.4390,920.3430,35.9040,4.0595,2.1375,0.3197,-1.8178
943.0400,959.2250,16.1850,1.7163,0.2379,0.0310,-0.2069
988.4760,1006.3510,17.8750,1.8083,0.0037,0.0199,0.0161
1034.5210,1059.5150,24.9940,2.4160,0.5153,5.6445,5.1292
1071.9190,1087.3270,15.4080,1.4374,0.0000,0.0000,0.0000
1083.1220,1115.1300,32.0080,2.9552,0.0471,0.0058,-0.0413
1087.3190,1114.5460,27.2270,2.5040,0.1029,0.0028,-0.1001
1106.5660,1153.7430,47.1770,4.2634,1.4386,4.7403,3.3017
1106.9920,1133.6030,26.6110,2.4039,0.0356,0.0309,-0.0047
1113.6570,1133.6700,20.0130,1.7971,0.6415,0.0584,-0.5831
1132.5490,1183.8450,51.2960,4.5293,0.3224,0.0655,-0.2569
1134.3130,1164.1040,29.7910,2.6263,0.0243,0.0020,-0.0223
1154.5100,1184.5060,29.9960,2.5982,0.0000,0.0000,0.0000
1209.9150,1243.2060,33.2910,2.7515,0.0008,0.3113,0.3106
1225.1750,1269.9520,44.7770,3.6547,0.0000,0.0000,0.0000
1231.8280,1282.8240,50.9960,4.1399,0.0000,0.0000,0.0000
1246.5860,1291.5530,44.9670,3.6072,0.1305,0.8617,0.7313
1257.0610,1272.3740,15.3130,1.2182,0.0009,0.0456,0.0446
1271.5770,1332.2250,60.6480,4.7695,5.8382,6.9304,1.0922
1302.6720,1322.4050,19.7330,1.5148,0.0000,0.0000,0.0000
1314.2290,1374.7390,60.5100,4.6042,3.6633,37.6763,34.0130
1324.2630,1387.3810,63.1180,4.7663,1.2639,1.4967,0.2329
1327.2640,1364.0460,36.7820,2.7713,0.0000,0.0000,0.0000
1351.8580,1393.1670,41.3090,3.0557,0.2175,0.3467,0.1292
1368.8160,1439.3770,70.5610,5.1549,0.2164,1.8885,1.6721
1370.0710,1411.4790,41.4080,3.0223,1.6227,0.1159,-1.5068
1374.9140,1444.8410,69.9270,5.0859,0.0000,0.0000,0.0000
1384.9980,1450.7410,65.7430,4.7468,1.6219,0.0067,-1.6153
1392.4940,1460.9780,68.4840,4.9181,11.1627,0.1617,-11.0010
1395.3320,1429.3180,33.9860,2.4357,0.3359,0.2002,-0.1358
1398.8690,1441.6690,42.8000,3.0596,0.1570,0.0951,-0.0619
1400.9630,1469.5570,68.5940,4.8962,3.5971,4.0394,0.4422
1451.1750,1492.9040,41.7290,2.8755,0.0000,0.2370,0.2370
1452.4420,1500.3320,47.8900,3.2972,0.0382,0.2839,0.2457
1467.9340,1524.5280,56.5940,3.8554,0.0305,0.0801,0.0496
1494.1930,1544.0360,49.8430,3.3358,0.0033,0.0000,-0.0033
1494.6590,1554.6040,59.9450,4.0106,0.2097,0.6493,0.4396
1496.4570,1540.4680,44.0110,2.9410,0.0255,0.0474,0.0219
1533.0110,1584.9250,51.9140,3.3864,0.0098,0.0020,-0.0079
1540.1350,1593.2860,53.1510,3.4511,0.0000,0.0000,0.0000
1545.2270,1598.3590,53.1320,3.4385,0.0000,0.0000,0.0000
1571.0950,1619.6030,48.5080,3.0875,0.0056,0.1581,0.1524
1578.3130,1633.6230,55.3100,3.5044,0.0000,0.0000,0.0000
1591.8450,1653.0890,61.2440,3.8474,0.0333,1.1826,1.1493
1591.8690,1648.7140,56.8450,3.5710,0.0312,0.0958,0.0645
1592.3220,1658.6700,66.3480,4.1667,0.0000,0.0000,0.0000
1595.8370,1655.5790,59.7420,3.7436,0.0000,0.0000,0.0000
1597.0790,1656.9950,59.9160,3.7516,0.3401,0.4354,0.0952
1606.0680,1661.8350,55.7670,3.4723,0.1275,0.0531,-0.0744
1608.0420,1667.2830,59.2410,3.6840,0.0000,0.0000,0.0000
1613.0120,1671.1270,58.1150,3.6029,0.0001,0.3369,0.3368
1619.2440,1677.4190,58.1750,3.5927,0.0000,0.0000,0.0000
1635.4180,1703.5390,68.1210,4.1654,0.3698,0.1025,-0.2673
1637.7080,1707.4500,69.7420,4.2585,0.0245,0.1792,0.1547
1641.3820,1704.7090,63.3270,3.8582,0.0598,0.2542,0.1945
1651.7560,1710.6790,58.9230,3.5673,0.0000,0.0000,0.0000
1659.9590,1721.2430,61.2840,3.6919,0.2945,0.2825,-0.0120
1665.4250,1726.5590,61.1340,3.6708,0.0941,0.0812,-0.0129
1673.0960,1743.4640,70.3680,4.2059,0.0459,0.1156,0.0697
1686.6690,1758.4950,71.8260,4.2585,0.0701,0.2593,0.1892
1697.3030,1747.8760,50.5730,2.9796,0.0033,0.0348,0.0315
1714.5260,1775.4390,60.9130,3.5528,0.0000,0.0000,0.0000
1729.9210,1802.3360,72.4150,4.1860,0.0292,0.0496,0.0204
1732.1230,1816.4180,84.2950,4.8666,0.0000,0.3498,0.3498
1734.1620,1795.7550,61.5930,3.5517,0.0345,0.0614,0.0269
1737.8680,1816.2210,78.3530,4.5086,0.0000,0.0000,0.0000
1747.1110,1821.1720,74.0610,4.2391,0.0111,0.0101,-0.0010
1751.8420,1824.5050,72.6630,4.1478,0.0010,0.0154,0.0144
1754.4700,1831.4450,76.9750,4.3874,0.0639,0.0547,-0.0092
1758.5570,1807.3510,48.7940,2.7747,0.0000,0.0000,0.0000
1759.9410,1836.1010,76.1600,4.3274,0.0920,0.4470,0.3550
1768.5900,1841.6090,73.0190,4.1287,0.0147,0.0761,0.0614
1829.0350,1900.2380,71.2030,3.8929,0.0046,0.0024,-0.0022
1851.1840,1926.1040,74.9200,4.0471,0.7027,0.2284,-0.4744
1879.6380,1931.0450,51.4070,2.7349,0.0140,1.1778,1.1638
1897.6700,1958.8240,61.1540,3.2226,0.0293,0.0726,0.0433
1917.5430,1979.2140,61.6710,3.2161,0.0069,0.0001,-0.0068
1953.5880,2028.5920,75.0040,3.8393,0.0034,0.7661,0.7627
1953.9710,2026.4780,72.5070,3.7108,0.0874,0.0725,-0.0149
1971.9900,2054.8610,82.8710,4.2024,0.0000,0.0000,0.0000
1982.9980,2057.5910,74.5930,3.7616,0.0862,0.0100,-0.0763
1987.1580,2070.8640,83.7060,4.2123,0.3331,0.0994,-0.2337
1995.2770,2082.6160,87.3390,4.3773,0.1265,0.0270,-0.0996
1997.1090,2080.6620,83.5530,4.1837,0.0000,0.0000,0.0000
2018.0380,2104.9610,86.9230,4.3073,0.0000,0.0000,0.0000
2033.9600,2119.5400,85.5800,4.2076,0.0000,0.0000,0.0000
2046.3730,2133.2780,86.9050,4.2468,0.2262,0.2620,0.0357
2061.2220,2112.4750,51.2530,2.4865,0.0001,0.0000,-0.0001
2080.7470,2191.3910,110.6440,5.3175,0.2930,0.3085,0.0155
2080.9730,2157.2820,76.3090,3.6670,0.0000,0.0000,0.0000
2095.5530,2188.6140,93.0610,4.4409,0.0214,0.3957,0.3744
2095.8140,2182.9210,87.1070,4.1562,0.0791,0.2054,0.1262
2106.1530,2195.6040,89.4510,4.2471,0.0000,0.0000,0.0000
2113.9870,2205.7880,91.8010,4.3426,0.0138,0.0228,0.0090
2115.6040,2203.3340,87.7300,4.1468,0.0105,0.0531,0.0426
2118.7880,2210.5290,91.7410,4.3299,0.0038,0.1274,0.1235
2122.2850,2206.8700,84.5850,3.9856,0.0141,0.0785,0.0644
2137.1820,2232.3410,95.1590,4.4525,0.0358,0.0295,-0.0063
2137.5510,2210.0140,72.4630,3.3900,0.0201,0.0068,-0.0133
2156.9070,2252.5430,95.6360,4.4339,0.0011,0.0854,0.0843
2158.2510,2245.8890,87.6380,4.0606,0.3194,0.0599,-0.2595
2165.6090,2241.8490,76.2400,3.5205,0.0000,0.0000,0.0000
2171.9220,2260.3930,88.4710,4.0734,0.0050,0.2417,0.2368
2175.0860,2273.0450,97.9590,4.5037,0.0700,0.0133,-0.0567
2187.7410,2286.9270,99.1860,4.5337,0.0000,0.0000,0.0000
2193.8030,2292.2990,98.4960,4.4897,0.1887,0.0029,-0.1858
2206.7400,2306.2200,99.4800,4.5080,0.0003,0.0302,0.0299
2210.3830,2305.0550,94.6720,4.2831,0.0134,0.0009,-0.0125
2220.1940,2321.2830,101.0890,4.5532,0.0149,0.0118,-0.0030
2224.4520,2319.4400,94.9880,4.2702,0.0000,0.0000,0.0000
2233.7940,2324.6610,90.8670,4.0678,0.0136,0.1019,0.0884
2234.4430,2346.6020,112.1590,5.0196,0.0000,0.0000,0.0000
2238.6450,2344.4110,105.7660,4.7246,0.1508,0.0141,-0.1367
2238.9400,2337.3340,98.3940,4.3947,0.0006,0.0001,-0.0004
2241.7760,2335.2410,93.4650,4.1692,0.0005,0.0090,0.0084
2247.0820,2348.7290,101.6470,4.5235,0.0418,0.1474,0.1057
2248.2730,2341.4070,93.1340,4.1425,0.0247,0.0000,-0.0247
2254.1210,2365.6040,111.4830,4.9457,0.1413,0.0164,-0.1249
2254.5910,2358.7110,104.1200,4.6181,0.0502,0.4138,0.3636
2256.5180,2362.3520,105.8340,4.6901,0.0544,0.0505,-0.0039
2260.8140,2335.9270,75.1130,3.3224,0.0000,0.0026,0.0026
2262.2730,2366.1030,103.8300,4.5896,0.0000,0.0000,0.0000
2263.2270,2365.7970,102.5700,4.5320,0.0021,0.0002,-0.0020
2268.0270,2369.4220,101.3950,4.4706,0.0000,0.0355,0.0355
2274.1960,2378.5630,104.3670,4.5892,0.0000,0.0000,0.0000
2280.9540,2385.2450,104.2910,4.5723,0.0236,1.1548,1.1312
2304.0620,2388.4720,84.4100,3.6635,0.0471,0.0765,0.0294
2337.6660,2436.0440,98.3780,4.2084,0.0000,0.0000,0.0000
2341.5600,2429.7330,88.1730,3.7656,0.0041,0.0450,0.0409
2356.3630,2445.0450,88.6820,3.7635,0.1391,0.2454,0.1063
2363.4780,2465.7390,102.2610,4.3267,0.1288,0.6578,0.5291
2379.4180,2486.2110,106.7930,4.4882,0.2474,0.2110,-0.0364
2405.2450,2506.4860,101.2410,4.2092,0.0691,0.4851,0.4159
2405.8470,2516.8600,111.0130,4.6143,0.0000,0.0000,0.0000
2408.8020,2503.9140,95.1120,3.9485,0.0070,0.0340,0.0270
2414.3190,2523.5080,109.1890,4.5226,0.0175,0.0544,0.0369
2418.4070,2509.5130,91.1060,3.7672,0.0018,0.0016,-0.0002
2426.5150,2520.1200,93.6050,3.8576,0.0000,0.0000,0.0000
2428.1820,2538.6450,110.4630,4.5492,0.0288,0.1561,0.1273
2432.5570,2525.9040,93.3470,3.8374,0.0046,0.3203,0.3157
