DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1326.9920,1177.4080,-149.5840,-11.2724,13.3492,7.4722,-5.8771
1327.1400,1177.6300,-149.5100,-11.2656,13.3364,7.4679,-5.8686
1327.2930,1177.8070,-149.4860,-11.2625,13.3236,7.4785,-5.8452
1544.7210,1380.4220,-164.2990,-10.6362,0.0000,0.0000,0.0000
1544.7250,1380.4230,-164.3020,-10.6363,0.0000,0.0000,0.0000
2620.8280,2379.5680,-241.2600,-9.2055,0.0000,0.0411,0.0411
2648.8770,2380.4090,-268.4680,-10.1352,0.2116,0.0089,-0.2027
2649.0760,2370.9590,-278.1170,-10.4986,0.3185,0.6209,0.3024
2649.1140,2369.2520,-279.8620,-10.5644,0.3173,0.7287,0.4114
2658.0210,2379.7680,-278.2530,-10.4684,0.0013,0.0328,0.0316
2658.2680,2369.6990,-288.5690,-10.8555,0.0012,0.7010,0.6998
2857.9920,2561.5940,-296.3980,-10.3708,1.0970,0.0471,-1.0498
2862.2270,2563.5960,-298.6310,-10.4335,0.8254,0.0358,-0.7896
2862.2830,2563.3610,-298.9220,-10.4435,0.8218,0.0371,-0.7848
2870.7850,2567.3400,-303.4450,-10.5701,0.2779,0.0129,-0.2650
2870.8400,2567.1150,-303.7250,-10.5797,0.2744,0.0145,-0.2599
2875.0900,2569.0900,-306.0000,-10.6431,0.0023,0.0016,-0.0007
2926.9850,2767.4330,-159.5520,-5.4511,0.0000,0.0203,0.0203
3024.3900,2893.0390,-131.3510,-4.3431,28.4415,7.7442,-20.6973
3024.9780,2889.6260,-135.3520,-4.4745,28.4463,7.7468,-20.6995
3025.5870,2894.3370,-131.2500,-4.3380,28.4395,7.7645,-20.6750
3088.6740,2766.2320,-322.4420,-10.4395,0.0000,0.0000,0.0000
3090.5400,2762.5150,-328.0250,-10.6138,0.0000,0.0000,0.0000
3090.5480,2762.5120,-328.0360,-10.6142,0.0000,0.0000,0.0000
4255.6310,3929.1620,-326.4690,-7.6715,0.7956,0.8368,0.0411
4255.6310,3929.1660,-326.4650,-7.6714,0.7956,0.8380,0.0424
4255.6370,3929.1560,-326.4810,-7.6717,0.7956,0.8377,0.0421
4344.2050,4057.1670,-287.0380,-6.6074,0.4590,0.6229,0.1639
4344.2110,4047.1740,-297.0370,-6.8375,0.4605,0.0641,-0.3964
4344.2190,4057.5700,-286.6490,-6.5984,0.4597,0.6033,0.1436
4344.2220,4047.2330,-296.9890,-6.8364,0.4598,0.0838,-0.3760
4344.7290,4046.9460,-297.7830,-6.8539,0.4597,0.0755,-0.3842
4344.7340,4057.1960,-287.5380,-6.6181,0.4590,0.6148,0.1558
4346.1580,4057.3500,-288.8080,-6.6451,0.0011,0.5973,0.5962
4346.1640,4057.2770,-288.8870,-6.6469,0.0004,0.6169,0.6165
4346.7110,4057.4190,-289.2920,-6.6554,0.0003,0.6087,0.6084
4452.3250,4123.3050,-329.0200,-7.3898,0.0000,0.0000,0.0000
4452.3300,4123.3050,-329.0250,-7.3900,0.0000,0.0000,0.0000
4554.4400,4248.6330,-305.8070,-6.7145,0.0000,0.0425,0.0424
4556.4370,4253.1350,-303.3020,-6.6566,0.0046,0.0144,0.0098
4556.4420,4245.8860,-310.5560,-6.8158,0.0046,0.0585,0.0539
4560.4600,4248.0240,-312.4360,-6.8510,0.0138,0.0448,0.0310
4560.4610,4255.3960,-305.0650,-6.6893,0.0138,0.0019,-0.0119
4562.4930,4253.0330,-309.4600,-6.7827,0.0184,0.0162,-0.0021
5829.5620,5458.5990,-370.9630,-6.3635,0.0000,0.0000,0.0000
5899.9420,5538.7170,-361.2250,-6.1225,0.0566,0.0012,-0.0555
5899.9450,5538.8090,-361.1360,-6.1210,0.0566,0.0012,-0.0555
5899.9710,5539.0780,-360.8930,-6.1169,0.0567,0.0011,-0.0555
5948.7560,5775.7910,-172.9650,-2.9076,0.0000,0.0274,0.0274
5986.8150,5609.9690,-376.8460,-6.2946,0.4093,0.0000,-0.4093
5990.5080,5691.4390,-299.0690,-4.9924,0.2727,0.2167,-0.0560
5990.5590,5696.6290,-293.9300,-4.9066,0.2725,0.2046,-0.0679
6056.6210,5679.0870,-377.5340,-6.2334,0.0001,0.2453,0.2452
6057.9700,5760.9240,-297.0460,-4.9034,0.0004,0.0798,0.0794
