DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
285.5840,76.2100,-209.3740,-73.3143,1.1058,0.2462,-0.8595
429.9090,531.0760,101.1670,23.5322,4.7335,46.7542,42.0207
542.6170,641.4350,98.8180,18.2114,36.0752,64.9933,28.9180
587.3640,1043.3840,456.0200,77.6384,35.3781,6.6756,-28.7025
665.5390,1422.1020,756.5630,113.6767,55.4137,9.1278,-46.2859
719.9080,605.7030,-114.2050,-15.8638,4.0406,24.2496,20.2090
783.5580,148.8210,-634.7370,-81.0070,0.4696,0.3366,-0.1331
825.0800,729.5830,-95.4970,-11.5743,27.4256,0.3288,-27.0968
860.2730,2964.7010,2104.4280,244.6233,3.3918,0.1772,-3.2146
860.7730,1060.2690,199.4960,23.1764,0.1135,0.4909,0.3774
867.6420,1117.7950,250.1530,28.8314,225.8593,2.8952,-222.9641
964.5510,1504.2670,539.7160,55.9552,0.6864,2.7587,2.0722
973.4860,1161.5800,188.0940,19.3217,0.0233,13.2980,13.2747
994.1700,423.4010,-570.7690,-57.4116,62.3771,7.2238,-55.1533
1017.9300,1577.2640,559.3340,54.9482,0.3261,0.5454,0.2193
1056.1040,580.2680,-475.8360,-45.0558,8.4010,32.4155,24.0145
1083.4710,1259.5450,176.0740,16.2509,1.0438,19.8606,18.8168
1095.9730,1956.6720,860.6990,78.5329,0.0005,0.1073,0.1068
1128.8220,1687.8030,558.9810,49.5190,0.0548,0.2821,0.2273
1145.8060,3050.8220,1905.0160,166.2599,0.4698,0.6068,0.1370
1175.2160,2088.3460,913.1300,77.6989,0.0336,0.1529,0.1194
1181.2280,859.5020,-321.7260,-27.2366,168.6927,6.4212,-162.2715
1200.7320,2070.4390,869.7070,72.4314,65.2442,0.0456,-65.1986
1256.0530,2469.8010,1213.7480,96.6319,0.0767,0.1535,0.0768
1287.9390,3498.8240,2210.8850,171.6607,0.9918,0.0604,-0.9313
1291.3880,502.8870,-788.5010,-61.0584,0.7759,5.2168,4.4409
1295.4730,985.3320,-310.1410,-23.9404,66.7556,11.4410,-55.3146
1341.9170,654.6180,-687.2990,-51.2177,4.0999,31.9916,27.8917
1347.3730,2841.0470,1493.6740,110.8582,1.9761,0.2857,-1.6904
1386.3670,1176.3020,-210.0650,-15.1522,53.0519,49.2804,-3.7715
1401.4320,3609.3110,2207.8790,157.5445,0.0366,0.0505,0.0139
1419.7560,955.6260,-464.1300,-32.6908,11.0986,0.0002,-11.0984
1429.9500,1379.8170,-50.1330,-3.5059,6.6900,17.6252,10.9352
1449.7360,4006.0990,2556.3630,176.3330,31.7536,0.0726,-31.6810
1455.2880,1322.4740,-132.8140,-9.1263,12.2343,4.0286,-8.2057
1468.3770,935.3830,-532.9940,-36.2982,0.2070,1.4178,1.2107
1491.7340,1109.8580,-381.8760,-25.5995,5.1147,0.0098,-5.1050
1524.3110,4388.4710,2864.1600,187.8987,0.0725,0.4531,0.3805
1540.1060,1066.6160,-473.4900,-30.7440,1.4731,0.0016,-1.4715
1581.3620,1472.7740,-108.5880,-6.8667,0.1908,3.5824,3.3916
1599.4400,1223.2280,-376.2120,-23.5215,1.1470,0.0338,-1.1132
1610.7940,1388.9950,-221.7990,-13.7695,1.3535,0.1247,-1.2288
1611.1590,1069.6430,-541.5160,-33.6103,0.0004,4.0387,4.0383
1643.4680,1625.2230,-18.2450,-1.1102,0.0033,0.0026,-0.0007
1659.8870,1852.7590,192.8720,11.6196,0.0043,0.0598,0.0555
1670.2780,1249.1670,-421.1110,-25.2120,0.1720,0.0502,-0.1218
1714.2920,1457.5600,-256.7320,-14.9760,1.0498,2.5014,1.4516
1714.6600,5854.2210,4139.5610,241.4217,5.9187,0.2721,-5.6467
1721.6540,2009.4240,287.7700,16.7147,0.6881,0.0083,-0.6798
1724.0800,1500.2820,-223.7980,-12.9807,0.2167,0.1169,-0.0999
1750.9450,1520.0190,-230.9260,-13.1886,1.2692,1.9533,0.6841
1764.9250,1384.4820,-380.4430,-21.5558,3.1647,0.0079,-3.1568
1766.7300,1903.1970,136.4670,7.7243,3.8170,0.0463,-3.7707
1813.2970,1703.9890,-109.3080,-6.0281,214.3852,0.1180,-214.2672
1830.6630,1428.4000,-402.2630,-21.9736,242.1894,19.1068,-223.0826
1833.9120,2288.4100,454.4980,24.7830,0.0742,0.0000,-0.0742
1852.1830,3391.2000,1539.0170,83.0921,2.6073,0.0058,-2.6015
1855.6590,1908.2000,52.5410,2.8314,0.0167,0.4308,0.4141
1864.6860,1628.3370,-236.3490,-12.6750,0.0013,0.0029,0.0016
1888.1160,1838.3800,-49.7360,-2.6342,0.0135,0.0059,-0.0076
1907.7770,2030.5130,122.7360,6.4335,5.9303,0.0110,-5.9194
1914.7780,3548.2220,1633.4440,85.3072,0.0099,0.0009,-0.0090
1927.1990,1799.6250,-127.5740,-6.6197,0.0852,0.1944,0.1092
1968.5590,2217.6210,249.0620,12.6520,0.5481,0.0326,-0.5156
1969.4770,2025.4960,56.0190,2.8444,0.1307,0.0553,-0.0754
1983.6670,2407.5850,423.9180,21.3704,0.0476,0.3760,0.3284
1986.4210,847.8640,-1138.5570,-57.3170,1.1079,0.1945,-0.9134
1995.0850,1945.6700,-49.4150,-2.4768,0.0079,0.1686,0.1607
2017.9720,2420.1430,402.1710,19.9295,0.0012,0.2332,0.2320
2038.6300,3828.7160,1790.0860,87.8083,3.0124,0.0000,-3.0124
2041.1600,2350.2370,309.0770,15.1422,0.0146,0.6252,0.6106
2050.1130,1004.5910,-1045.5220,-50.9983,0.0021,0.3609,0.3588
2056.6380,2602.0740,545.4360,26.5208,0.0512,0.0368,-0.0144
2094.7950,2802.9430,708.1480,33.8051,0.0039,0.0037,-0.0001
2109.9290,1160.8530,-949.0760,-44.9814,0.1073,0.0416,-0.0658
2114.8840,1506.7030,-608.1810,-28.7572,0.1008,4.0583,3.9575
2119.3390,2735.4600,616.1210,29.0714,0.0062,0.0314,0.0252
2172.7510,1280.6390,-892.1120,-41.0591,3.6372,0.4940,-3.1431
2178.2090,3948.6020,1770.3930,81.2775,0.1523,0.0119,-0.1404
2236.9660,1443.4140,-793.5520,-35.4745,0.0023,32.5900,32.5877
2237.1250,4141.6670,1904.5420,85.1335,1.6298,0.0234,-1.6064
2260.3670,1957.8130,-302.5540,-13.3852,0.3353,0.0013,-0.3340
2290.3720,4343.7690,2053.3970,89.6534,0.0078,0.3772,0.3694
2313.0510,1405.5240,-907.5270,-39.2351,0.8207,19.8964,19.0757
2313.7590,4270.1570,1956.3980,84.5550,0.0106,0.3226,0.3119
2351.9640,1713.1350,-638.8290,-27.1615,0.6726,5.2613,4.5887
2372.1450,2070.7040,-301.4410,-12.7075,0.1011,0.0048,-0.0963
2375.6390,1596.3050,-779.3340,-32.8052,1.2307,1.6109,0.3802
2375.9210,1565.5670,-810.3540,-34.1069,0.1858,0.4247,0.2390
2412.1520,2468.4590,56.3070,2.3343,0.1215,0.1075,-0.0140
2417.5030,1799.3790,-618.1240,-25.5687,0.1011,25.5689,25.4678
2438.1220,1751.4120,-686.7100,-28.1655,0.2910,6.9411,6.6501
2448.5520,1729.7270,-718.8250,-29.3571,0.2061,0.5702,0.3641
2476.7870,1954.1580,-522.6290,-21.1011,0.1649,0.8371,0.6722
2494.1800,1842.8310,-651.3490,-26.1148,2.7751,0.3782,-2.3969
2494.9960,2854.4350,359.4390,14.4064,0.0049,0.0537,0.0488
2505.5230,1885.8010,-619.7220,-24.7342,0.0456,5.0329,4.9873
2563.1710,2029.4970,-533.6740,-20.8209,0.6943,5.4737,4.7794
2611.5380,2229.5680,-381.9700,-14.6262,0.0061,0.1185,0.1124
2634.6040,2162.7390,-471.8650,-17.9103,0.1400,0.6745,0.5345
2637.0450,1968.9000,-668.1450,-25.3369,0.0595,0.2003,0.1408
2693.3010,4379.5650,1686.2640,62.6096,0.6536,0.2319,-0.4216
2697.5340,2155.9630,-541.5710,-20.0765,0.3678,2.0466,1.6788
2751.4900,2358.8680,-392.6220,-14.2694,0.0489,1.3808,1.3318
2757.5600,2336.2020,-421.3580,-15.2801,0.2788,1.4123,1.1335
2773.7160,2289.6090,-484.1070,-17.4534,0.0477,1.2527,1.2051
2811.4380,2547.4590,-263.9790,-9.3895,0.2179,1.7433,1.5254
2822.6920,1855.3610,-967.3310,-34.2698,0.0569,0.0501,-0.0068
2837.0910,2471.1130,-365.9780,-12.8998,0.4048,7.1805,6.7757
2845.9410,2743.8970,-102.0440,-3.5856,0.3124,0.1888,-0.1236
2880.2410,2675.6790,-204.5620,-7.1023,0.0216,1.0628,1.0412
2884.2160,2006.9510,-877.2650,-30.4161,0.0250,0.0259,0.0010
2899.0320,1815.9360,-1083.0960,-37.3606,0.7813,211.6287,210.8473
2899.3080,2607.3810,-291.9270,-10.0689,0.2006,0.5325,0.3319
2943.8510,2927.7000,-16.1510,-0.5486,3.2731,17.2305,13.9574
2962.3400,3071.0320,108.6920,3.6691,3.1204,14.6834,11.5630
3007.7640,2286.0510,-721.7130,-23.9950,1.4655,0.0605,-1.4050
3150.4700,2413.8680,-736.6020,-23.3807,0.1118,0.1615,0.0497
3174.5060,1890.9860,-1283.5200,-40.4321,0.0032,0.0034,0.0003
3212.1480,3144.1800,-67.9680,-2.1160,0.0573,0.0556,-0.0017
3216.8260,2600.7770,-616.0490,-19.1508,0.1483,0.1129,-0.0354
3233.0690,3007.3980,-225.6710,-6.9801,2.5795,0.0224,-2.5571
3260.7130,2804.3390,-456.3740,-13.9961,0.0331,0.7305,0.6974
3283.9540,2733.1290,-550.8250,-16.7732,0.0818,0.1313,0.0495
3328.5620,2346.1730,-982.3890,-29.5139,0.0256,0.0896,0.0640
3374.5520,3458.5540,84.0020,2.4893,0.0120,0.0223,0.0103
3391.5120,3601.2280,209.7160,6.1836,0.0950,0.0074,-0.0876
3441.6350,2457.7930,-983.8420,-28.5865,0.0001,0.1024,0.1023
3486.4260,2858.5240,-627.9020,-18.0099,0.0094,0.1068,0.0974
3488.0310,3569.4350,81.4040,2.3338,0.0741,0.0107,-0.0634
3503.5790,3713.0400,209.4610,5.9785,0.0007,0.0111,0.0104
3532.5070,3967.1690,434.6620,12.3046,0.0104,0.1044,0.0940
3549.7970,4112.9080,563.1110,15.8632,0.0069,0.0029,-0.0039
3563.9530,3244.6880,-319.2650,-8.9582,0.0001,0.0059,0.0058
3609.8830,4353.3300,743.4470,20.5948,0.1409,0.2428,0.1019
3627.0560,4483.6820,856.6260,23.6177,0.0010,0.0799,0.0789
3644.1950,2854.6400,-789.5550,-21.6661,2.8973,0.1508,-2.7465
3671.0090,3579.7410,-91.2680,-2.4862,54.0840,48.0267,-6.0573
3759.3950,4783.4620,1024.0670,27.2402,0.0090,0.0292,0.0202
3806.1760,5763.4470,1957.2710,51.4236,0.0200,0.0085,-0.0115
3822.8370,6007.2990,2184.4620,57.1424,0.0105,0.0393,0.0288
3888.7220,2238.5820,-1650.1400,-42.4340,0.1065,0.8328,0.7263
3933.2340,3351.3230,-581.9110,-14.7947,0.0007,0.0055,0.0048
3950.0360,3494.6390,-455.3970,-11.5289,0.1581,0.0251,-0.1329
3950.2770,2390.3580,-1559.9190,-39.4889,0.2762,0.3432,0.0669
3954.0160,3653.1820,-300.8340,-7.6083,0.0194,0.3359,0.3165
3995.5480,3508.0860,-487.4620,-12.2001,0.0762,0.0314,-0.0448
4014.2090,3651.4150,-362.7940,-9.0377,0.0452,0.0222,-0.0229
4080.4230,2678.3790,-1402.0440,-34.3603,0.1589,0.1566,-0.0023
4099.5900,4106.2630,6.6730,0.1628,0.0662,0.0854,0.0192
4126.7660,3787.8160,-338.9500,-8.2135,0.1681,0.0050,-0.1631
4141.7400,3931.0930,-210.6470,-5.0860,0.0760,0.0764,0.0004
4216.8050,4219.0010,2.1960,0.0521,0.5827,0.4487,-0.1340
4220.5620,2799.5350,-1421.0270,-33.6691,0.1692,0.1284,-0.0408
4255.8870,4624.7680,368.8810,8.6675,0.1091,0.0365,-0.0726
4262.5580,3910.1760,-352.3820,-8.2669,0.4014,0.0029,-0.3985
4278.5740,4052.0300,-226.5440,-5.2948,0.1227,0.4178,0.2951
4296.2270,2985.4070,-1310.8200,-30.5110,0.0127,0.4382,0.4256
4327.0460,3194.0790,-1132.9670,-26.1834,0.1399,0.6288,0.4889
4328.0960,4101.2400,-226.8560,-5.2415,0.0134,0.3819,0.3686
4342.8130,5009.0630,666.2500,15.3414,0.5024,0.0104,-0.4921
4344.2470,4242.5580,-101.6890,-2.3408,0.1510,0.0888,-0.0622
4351.1810,3118.6230,-1232.5580,-28.3270,0.0361,3.5051,3.4690
4365.7120,4315.5160,-50.1960,-1.1498,0.2202,0.0544,-0.1659
4372.0060,4445.9290,73.9230,1.6908,0.2359,0.9225,0.6867
4382.3220,4233.7570,-148.5650,-3.3901,0.0615,0.2532,0.1917
4404.9150,4375.0820,-29.8330,-0.6773,0.3932,0.0217,-0.3715
4528.2500,6547.9450,2019.6950,44.6021,0.0855,0.0144,-0.0711
