DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1015.8920,757.8380,-258.0540,-25.4017,148.3585,1081.2662,932.9077
1648.7650,1485.8350,-162.9300,-9.8819,13.1311,421.3475,408.2164
1648.8150,1485.9550,-162.8600,-9.8774,13.1271,421.4171,408.2899
1934.8120,1395.7760,-539.0360,-27.8599,1.0279,19.1710,18.1431
2654.1790,2220.9560,-433.2230,-16.3223,0.0746,0.3883,0.3137
2654.2700,2221.0800,-433.1900,-16.3205,0.0747,0.3883,0.3136
3222.7690,2953.8950,-268.8740,-8.3429,0.4300,5.6487,5.2187
3285.4290,2953.8830,-331.5460,-10.0914,0.1178,7.6296,7.5119
3302.4470,2924.8010,-377.6460,-11.4353,0.0978,6.0460,5.9481
3335.7400,3370.5010,34.7610,1.0421,1.9375,134.6885,132.7511
3414.5350,3533.7450,119.2100,3.4913,1.2473,560.8104,559.5632
3415.4110,3533.6370,118.2260,3.4615,1.2426,560.7379,559.4954
4324.6950,4138.0820,-186.6130,-4.3151,1.9693,1.4502,-0.5191
4453.8320,4322.3980,-131.4340,-2.9510,1.3704,2.9882,1.6178
4454.8090,4322.3080,-132.5010,-2.9743,1.3712,2.9882,1.6170
4916.5910,4845.5070,-71.0840,-1.4458,0.2171,0.0910,-0.1261
4916.6860,4845.4000,-71.2860,-1.4499,0.2198,0.0910,-0.1288
5048.2460,5008.3390,-39.9070,-0.7905,0.6015,0.3747,-0.2268
5049.2590,5008.1470,-41.1120,-0.8142,0.6005,0.3749,-0.2257
5056.8270,5011.9240,-44.9030,-0.8880,0.6779,0.4074,-0.2705
5057.7670,5011.9880,-45.7790,-0.9051,0.6788,0.4075,-0.2713
6524.4840,6709.8900,185.4060,2.8417,0.1519,1.0845,0.9326
6600.0230,6856.2150,256.1920,3.8817,0.8406,4.8505,4.0099
6601.6080,6856.0580,254.4500,3.8544,0.8370,4.8504,4.0134
6708.0690,7035.5370,327.4680,4.8817,0.0132,4.4035,4.3904
6766.3690,7004.8580,238.4890,3.5246,0.5720,2.3990,1.8270
6766.8250,7035.7460,268.9210,3.9741,0.3331,2.4934,2.1604
