DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1015.8920,757.8380,-258.0540,-25.4017,148.3585,163.7350,15.3764
1648.7650,1485.8350,-162.9300,-9.8819,13.1311,9.2698,-3.8612
1648.8150,1485.9550,-162.8600,-9.8774,13.1271,9.5532,-3.5739
1934.8120,1395.7760,-539.0360,-27.8599,1.0279,0.0009,-1.0270
2654.1790,2220.9560,-433.2230,-16.3223,0.0746,0.3081,0.2335
2654.2700,2221.0800,-433.1900,-16.3205,0.0747,0.3079,0.2332
3222.7690,2953.8950,-268.8740,-8.3429,0.4300,0.8742,0.4442
3285.4290,2953.8830,-331.5460,-10.0914,0.1178,1.1828,1.0650
3302.4470,2924.8010,-377.6460,-11.4353,0.0978,0.0038,-0.0940
3335.7400,3370.5010,34.7610,1.0421,1.9375,0.1894,-1.7481
3414.5350,3533.7450,119.2100,3.4913,1.2473,9.4297,8.1825
3415.4110,3533.6370,118.2260,3.4615,1.2426,9.1570,7.9144
4324.6950,4138.0820,-186.6130,-4.3151,1.9693,2.6973,0.7280
4453.8320,4322.3980,-131.4340,-2.9510,1.3704,2.1830,0.8126
4454.8090,4322.3080,-132.5010,-2.9743,1.3712,2.1842,0.8130
4916.5910,4845.5070,-71.0840,-1.4458,0.2171,0.0502,-0.1669
4916.6860,4845.4000,-71.2860,-1.4499,0.2198,0.0508,-0.1690
5048.2460,5008.3390,-39.9070,-0.7905,0.6015,0.9289,0.3273
5049.2590,5008.1470,-41.1120,-0.8142,0.6005,0.9276,0.3271
5056.8270,5011.9240,-44.9030,-0.8880,0.6779,1.1876,0.5097
5057.7670,5011.9880,-45.7790,-0.9051,0.6788,1.1861,0.5073
6524.4840,6709.8900,185.4060,2.8417,0.1519,0.2538,0.1019
6600.0230,6856.2150,256.1920,3.8817,0.8406,1.8744,1.0338
6601.6080,6856.0580,254.4500,3.8544,0.8370,1.8716,1.0347
6708.0690,7035.5370,327.4680,4.8817,0.0132,1.2161,1.2029
6766.3690,7004.8580,238.4890,3.5246,0.5720,0.0015,-0.5704
6766.8250,7035.7460,268.9210,3.9741,0.3331,0.6972,0.3641
