DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1015.8920,1209.7790,193.8870,19.0854,148.3585,1010.7943,862.4358
1648.7650,1639.3540,-9.4110,-0.5708,13.1311,394.4319,381.3008
1648.8150,1638.5430,-10.2720,-0.6230,13.1271,403.0399,389.9128
1934.8120,2314.0430,379.2310,19.6004,1.0279,20.3354,19.3075
2654.1790,2838.5050,184.3260,6.9447,0.0746,0.3183,0.2437
2654.2700,2837.7020,183.4320,6.9108,0.0747,0.3160,0.2413
3222.7690,3239.8530,17.0840,0.5301,0.4300,16.4072,15.9772
3285.4290,3265.8240,-19.6050,-0.5967,0.1178,15.9930,15.8753
3302.4470,3265.0510,-37.3960,-1.1324,0.0978,13.2913,13.1934
3335.7400,4381.8850,1046.1450,31.3617,1.9375,6552.3144,6550.3769
3414.5350,5123.3540,1708.8190,50.0454,1.2473,517.9533,516.7061
3415.4110,5735.5050,2320.0940,67.9302,1.2426,2419.5095,2418.2669
4324.6950,5774.1440,1449.4490,33.5156,1.9693,1.6321,-0.3371
4453.8320,6536.3550,2082.5230,46.7580,1.3704,0.8431,-0.5273
4454.8090,7163.2760,2708.4670,60.7987,1.3712,0.9636,-0.4076
4916.5910,6038.1730,1121.5820,22.8122,0.2171,0.1146,-0.1024
4916.6860,6038.9650,1122.2790,22.8259,0.2198,0.1195,-0.1003
5048.2460,6772.7950,1724.5490,34.1614,0.6015,0.3855,-0.2161
5049.2590,7387.4640,2338.2050,46.3079,0.6005,0.4326,-0.1679
5056.8270,6773.1930,1716.3660,33.9416,0.6779,0.4695,-0.2084
5057.7670,7384.6380,2326.8710,46.0059,0.6788,0.4403,-0.2385
6524.4840,8827.9260,2303.4420,35.3046,0.1519,0.8606,0.7088
6600.0230,9968.4160,3368.3930,51.0361,0.8406,3.7873,2.9467
6601.6080,11121.6520,4520.0440,68.4688,0.8370,4.1561,3.3192
6708.0690,10597.7250,3889.6560,57.9847,0.0132,6.4202,6.4070
6766.3690,12572.4290,5806.0600,85.8076,0.5720,4.5647,3.9927
6766.8250,12115.2710,5348.4460,79.0392,0.3331,2.7500,2.4169
