DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
930.4700,1209.7790,279.3090,30.0181,195.2320,170.3365,-24.8954
1624.9590,1639.3540,14.3950,0.8859,22.5642,9.4796,-13.0846
1627.3960,1638.5430,11.1470,0.6850,22.6012,9.8493,-12.7518
1746.6230,2314.0430,567.4200,32.4867,0.0022,0.0270,0.0248
2543.9770,2838.5050,294.5280,11.5775,0.0175,0.2311,0.2136
2547.1410,2837.7020,290.5610,11.4073,0.0172,0.2308,0.2136
3215.1680,3265.0510,49.8830,1.5515,0.0041,1.0383,1.0341
3239.9340,3239.8530,-0.0810,-0.0025,0.3717,0.1393,-0.2324
3240.9590,3265.8240,24.8650,0.7672,0.4649,1.2668,0.8019
3414.5360,4381.8850,967.3490,28.3303,1.2393,33.8967,32.6574
3503.6030,5735.5050,2231.9020,63.7031,1.5063,45.0524,43.5461
3531.8120,5123.3540,1591.5420,45.0630,1.3670,12.1066,10.7396
4365.2050,5774.1440,1408.9390,32.2766,1.1638,2.5179,1.3541
4458.9380,7163.2760,2704.3380,60.6498,1.6568,1.8322,0.1753
4492.0920,6536.3550,2044.2630,45.5080,1.6532,1.8188,0.1656
5039.4550,6038.9650,999.5100,19.8337,0.1092,0.0458,-0.0634
5043.1290,6038.1730,995.0440,19.7307,0.1038,0.0450,-0.0588
5109.4680,7387.4640,2277.9960,44.5838,0.7986,0.8694,0.0708
5123.3420,7384.6380,2261.2960,44.1371,0.8276,1.1295,0.3019
5143.7980,6772.7950,1628.9970,31.6691,0.8029,0.8653,0.0624
5150.6190,6773.1930,1622.5740,31.5025,0.8262,1.1336,0.3074
6790.7240,8827.9260,2037.2020,29.9998,0.1013,0.3985,0.2972
6838.3610,11121.6520,4283.2910,62.6362,0.7070,1.8090,1.1019
6881.8590,9968.4160,3086.5570,44.8506,0.7210,1.7934,1.0724
6923.7650,12572.4290,5648.6640,81.5837,0.1526,0.4313,0.2787
6993.7180,12115.2710,5121.5530,73.2308,0.3276,0.7209,0.3933
7006.3150,10597.7250,3591.4100,51.2596,0.4302,1.5310,1.1008
