DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
8.9680,-41.6220,-50.5900,-564.1169,0.9994,0.4493,0.0000,-0.4493
58.0560,31.8240,-26.2320,-45.1840,0.9959,0.0483,0.0000,-0.0483
83.4790,100.5510,17.0720,20.4507,0.9501,2.7718,0.0000,-2.7718
90.9600,72.4560,-18.5040,-20.3430,0.9443,3.7113,0.0000,-3.7113
139.9520,130.2890,-9.6630,-6.9045,0.9969,2.0304,0.0000,-2.0304
174.9570,165.1090,-9.8480,-5.6288,0.9909,0.2661,0.0000,-0.2661
228.9470,225.2620,-3.6850,-1.6095,0.9948,0.2438,0.0000,-0.2438
267.6320,267.3050,-0.3270,-0.1222,0.9962,0.7099,0.0000,-0.7099
309.2270,310.5530,1.3260,0.4288,0.9959,1.2091,0.0000,-1.2091
355.2110,352.5540,-2.6570,-0.7480,0.9964,0.7171,0.0000,-0.7171
422.0650,407.6750,-14.3900,-3.4094,0.9943,4.0277,0.0000,-4.0277
426.3650,430.8960,4.5310,1.0627,0.9935,7.5171,0.0000,-7.5171
502.4180,499.7900,-2.6280,-0.5231,0.9977,0.3986,0.0000,-0.3986
522.5580,528.0400,5.4820,1.0491,0.7712,10.5651,0.0000,-10.5651
552.7100,583.6830,30.9730,5.6038,0.8166,5.9880,0.0000,-5.9880
571.3170,577.6870,6.3700,1.1150,0.9941,70.5990,0.0000,-70.5990
579.1410,554.2900,-24.8510,-4.2910,0.9025,20.5586,0.0000,-20.5586
637.2020,639.8860,2.6840,0.4212,0.9953,32.5722,0.0000,-32.5722
665.3290,671.1190,5.7900,0.8702,0.9887,3.8327,0.0000,-3.8327
704.2060,723.7650,19.5590,2.7775,0.9979,41.3298,0.0000,-41.3298
728.9800,733.2190,4.2390,0.5815,0.9897,3.2213,0.0000,-3.2213
764.9250,767.4570,2.5320,0.3310,0.9835,16.9852,0.0000,-16.9852
795.7480,795.7280,-0.0200,-0.0025,0.9566,1.1555,0.0000,-1.1555
824.5800,831.5780,6.9980,0.8487,0.9699,11.6597,0.0000,-11.6597
879.6800,882.7320,3.0520,0.3469,0.9755,5.4108,0.0000,-5.4108
912.5670,918.0440,5.4770,0.6002,0.9960,46.8726,0.0000,-46.8726
960.3390,963.3490,3.0100,0.3134,0.9451,3.4489,0.0000,-3.4489
984.0950,994.9930,10.8980,1.1074,0.9583,0.0472,0.0000,-0.0472
1003.9110,1009.5950,5.6840,0.5662,0.9964,65.9552,0.0000,-65.9552
1043.1500,1043.9620,0.8120,0.0778,0.9956,10.1351,0.0000,-10.1351
1053.9520,1055.7400,1.7880,0.1696,0.9950,2.9607,0.0000,-2.9607
1068.0290,1071.0150,2.9860,0.2796,0.9932,139.0218,0.0000,-139.0218
1140.0850,1137.9560,-2.1290,-0.1867,0.9990,13.0613,0.0000,-13.0613
1171.1530,1162.6580,-8.4950,-0.7254,0.9968,191.6995,0.0000,-191.6995
1179.5250,1186.2240,6.6990,0.5679,0.9904,77.1714,0.0000,-77.1714
1184.5300,1208.2940,23.7640,2.0062,0.9877,243.6794,0.0000,-243.6794
1230.8020,1233.8660,3.0640,0.2489,0.9952,5.2378,0.0000,-5.2378
1278.2290,1278.6920,0.4630,0.0362,0.9908,5.6702,0.0000,-5.6702
1324.8870,1327.1760,2.2890,0.1728,0.9862,1.4815,0.0000,-1.4815
1349.9230,1358.7830,8.8600,0.6563,0.9095,29.6638,0.0000,-29.6638
1371.1020,1367.7930,-3.3090,-0.2413,0.9886,54.1416,0.0000,-54.1416
1442.1560,1431.2180,-10.9380,-0.7584,0.9953,7.7503,0.0000,-7.7503
1447.6480,1434.4610,-13.1870,-0.9109,0.9895,12.0206,0.0000,-12.0206
1459.4960,1461.4430,1.9470,0.1334,0.9887,32.2594,0.0000,-32.2594
1496.9310,1504.7870,7.8560,0.5248,0.9924,10.9961,0.0000,-10.9961
1591.7100,1605.2860,13.5760,0.8529,0.8311,13.6998,0.0000,-13.6998
1782.7820,1777.4190,-5.3630,-0.3008,0.9896,273.9985,0.0000,-273.9985
1839.9280,1813.3860,-26.5420,-1.4426,0.9982,88.3473,0.0000,-88.3473
2959.5380,2927.3870,-32.1510,-1.0864,0.9941,0.1311,0.0000,-0.1311
3008.9250,2990.6390,-18.2860,-0.6077,0.9969,5.6267,0.0000,-5.6267
3037.8040,3021.3730,-16.4310,-0.5409,0.9808,7.9481,0.0000,-7.9481
3058.2320,3060.1140,1.8820,0.0615,0.9607,6.0606,0.0000,-6.0606
3075.7850,3021.4970,-54.2880,-1.7650,0.9967,2.8165,0.0000,-2.8165
3088.8150,3044.8780,-43.9370,-1.4225,0.8667,5.4932,0.0000,-5.4932
3100.4900,3110.5030,10.0130,0.3229,0.9356,8.0700,0.0000,-8.0700
3577.1150,3550.1760,-26.9390,-0.7531,0.9786,64.6609,0.0000,-64.6609
