DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
8.9680,-264.4180,-273.3860,-3048.4612,0.9993,0.4493,0.0000,-0.4493
58.0560,-127.8210,-185.8770,-320.1685,0.9462,0.0483,0.0000,-0.0483
83.4790,-68.6740,-152.1530,-182.2650,0.9378,2.7718,0.0000,-2.7718
90.9600,-85.7210,-176.6810,-194.2403,0.8090,3.7113,0.0000,-3.7113
139.9520,79.8140,-60.1380,-42.9704,0.9941,2.0304,0.0000,-2.0304
174.9570,-32.7170,-207.6740,-118.7000,0.9002,0.2661,0.0000,-0.2661
228.9470,170.0730,-58.8740,-25.7151,0.9845,0.2438,0.0000,-0.2438
267.6320,186.7170,-80.9150,-30.2337,0.9872,0.7099,0.0000,-0.7099
309.2270,217.4990,-91.7280,-29.6636,0.9783,1.2091,0.0000,-1.2091
355.2110,264.1760,-91.0350,-25.6284,0.9491,0.7171,0.0000,-0.7171
422.0650,343.1830,-78.8820,-18.6895,0.9701,4.0277,0.0000,-4.0277
426.3650,306.7190,-119.6460,-28.0619,0.9303,7.5171,0.0000,-7.5171
502.4180,185.7510,-316.6670,-63.0286,0.8850,0.3986,0.0000,-0.3986
522.5580,428.4260,-94.1320,-18.0137,0.5962,10.5651,0.0000,-10.5651
571.3170,572.8430,1.5260,0.2671,0.7511,70.5990,0.0000,-70.5990
579.1410,460.3380,-118.8030,-20.5137,0.7478,20.5586,0.0000,-20.5586
637.2020,507.1130,-130.0890,-20.4157,0.9603,32.5722,0.0000,-32.5722
665.3290,608.4390,-56.8900,-8.5507,0.7403,3.8327,0.0000,-3.8327
704.2060,518.7670,-185.4390,-26.3331,0.8824,41.3298,0.0000,-41.3298
795.7480,732.6940,-63.0540,-7.9239,0.7507,1.1555,0.0000,-1.1555
824.5800,706.7450,-117.8350,-14.2903,0.7509,11.6597,0.0000,-11.6597
879.6800,761.6610,-118.0190,-13.4161,0.7278,5.4108,0.0000,-5.4108
960.3390,785.2320,-175.1070,-18.2339,0.6118,3.4489,0.0000,-3.4489
984.0950,898.8140,-85.2810,-8.6659,0.8517,0.0472,0.0000,-0.0472
1003.9110,868.4930,-135.4180,-13.4890,0.9280,65.9552,0.0000,-65.9552
1043.1500,1008.6190,-34.5310,-3.3103,0.9463,10.1351,0.0000,-10.1351
1053.9520,1001.5900,-52.3620,-4.9682,0.4996,2.9607,0.0000,-2.9607
1140.0850,1085.8320,-54.2530,-4.7587,0.9106,13.0613,0.0000,-13.0613
1179.5250,1122.5060,-57.0190,-4.8341,0.8252,77.1714,0.0000,-77.1714
1184.5300,1091.7670,-92.7630,-7.8312,0.7358,243.6794,0.0000,-243.6794
1278.2290,1304.4680,26.2390,2.0528,0.6066,5.6702,0.0000,-5.6702
1324.8870,1197.9700,-126.9170,-9.5795,0.6319,1.4815,0.0000,-1.4815
1349.9230,1215.0880,-134.8350,-9.9883,0.9649,29.6638,0.0000,-29.6638
1371.1020,1424.0650,52.9630,3.8628,0.9699,54.1416,0.0000,-54.1416
1442.1560,1238.8400,-203.3160,-14.0981,0.9286,7.7503,0.0000,-7.7503
1447.6480,1286.0520,-161.5960,-11.1627,0.8424,12.0206,0.0000,-12.0206
1459.4960,1292.0560,-167.4400,-11.4725,0.5885,32.2594,0.0000,-32.2594
1591.7100,1847.5550,255.8450,16.0736,0.9179,13.6998,0.0000,-13.6998
1620.4770,1397.8760,-222.6010,-13.7368,0.8311,28.9391,0.0000,-28.9391
1782.7820,1498.9350,-283.8470,-15.9216,0.9191,273.9985,0.0000,-273.9985
1839.9280,1748.9490,-90.9790,-4.9447,0.8540,88.3473,0.0000,-88.3473
2959.5380,2843.6350,-115.9030,-3.9163,0.8431,0.1311,0.0000,-0.1311
3008.9250,2744.3530,-264.5720,-8.7929,0.9574,5.6267,0.0000,-5.6267
3058.2320,2853.9710,-204.2610,-6.6791,0.6286,6.0606,0.0000,-6.0606
3075.7850,3533.5130,457.7280,14.8817,0.9878,2.8165,0.0000,-2.8165
3088.8150,2948.0300,-140.7850,-4.5579,0.8633,5.4932,0.0000,-5.4932
3100.4900,3005.6710,-94.8190,-3.0582,0.7223,8.0700,0.0000,-8.0700
3577.1150,3043.5210,-533.5940,-14.9169,0.7767,64.6609,0.0000,-64.6609
