DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
8.9680,27.9710,19.0030,211.8979,0.9994,0.4493,0.0000,-0.4493
58.0560,89.0620,31.0060,53.4071,0.9960,0.0483,0.0000,-0.0483
72.9820,65.2740,-7.7080,-10.5615,,0.0128,0.0082,-0.0045
83.4790,77.7920,-5.6870,-6.8125,0.9642,2.7718,0.0000,-2.7718
90.9600,101.8230,10.8630,11.9426,0.9590,3.7113,0.0000,-3.7113
116.5300,128.4960,11.9660,10.2686,,0.5975,0.7112,0.1137
118.0760,121.7880,3.7120,3.1437,,0.0139,1.6176,1.6037
135.9920,138.1750,2.1830,1.6052,,0.0549,0.1843,0.1295
139.9520,206.0440,66.0920,47.2248,0.9980,2.0304,0.0000,-2.0304
157.8440,176.7640,18.9200,11.9865,,0.0105,0.4302,0.4198
159.4050,196.0420,36.6370,22.9836,,0.0353,0.0152,-0.0201
162.4590,191.9060,29.4470,18.1258,,0.9974,0.4814,-0.5160
162.8250,186.5570,23.7320,14.5752,,0.0295,0.1086,0.0792
174.9570,125.7130,-49.2440,-28.1463,0.9923,0.2661,0.0000,-0.2661
175.9390,187.2070,11.2680,6.4045,,0.2755,0.1779,-0.0977
180.8180,205.8510,25.0330,13.8443,,0.0608,0.0818,0.0210
181.4190,199.9880,18.5690,10.2354,,0.1216,0.3852,0.2636
198.5910,244.9530,46.3620,23.3455,,0.1899,0.0490,-0.1409
199.2000,213.7880,14.5880,7.3233,,0.0018,0.0604,0.0586
200.9930,239.1440,38.1510,18.9813,,0.0223,0.1094,0.0871
218.8970,253.0710,34.1740,15.6119,,0.0068,0.9420,0.9352
220.8960,253.8090,32.9130,14.8998,,0.0107,0.0494,0.0386
221.2460,246.5820,25.3360,11.4515,,0.0791,0.0673,-0.0118
228.9470,236.3230,7.3760,3.2217,0.9962,0.2438,0.0000,-0.2438
231.3200,292.8650,61.5450,26.6060,,0.3012,0.0275,-0.2737
239.4090,263.4650,24.0560,10.0481,,0.0393,0.0163,-0.0230
259.3820,302.4950,43.1130,16.6214,,0.0065,0.0757,0.0692
263.3080,262.3000,-1.0080,-0.3828,,0.0113,0.0383,0.0270
267.6320,274.9200,7.2880,2.7231,0.9966,0.7099,0.0000,-0.7099
279.2660,302.3250,23.0590,8.2570,,0.0065,0.9536,0.9472
302.4570,304.2950,1.8380,0.6077,,0.2086,0.5344,0.3259
309.2270,316.5700,7.3430,2.3746,0.9947,1.2091,0.0000,-1.2091
309.9330,330.7570,20.8240,6.7189,,1.3559,0.2376,-1.1183
310.4650,325.6140,15.1490,4.8795,,0.0419,1.5142,1.4723
327.7080,339.9470,12.2390,3.7347,,0.0246,0.0389,0.0143
344.6590,342.4060,-2.2530,-0.6537,,0.0092,0.0035,-0.0057
347.6890,373.0650,25.3760,7.2985,,0.0092,0.0680,0.0588
347.7560,380.4190,32.6630,9.3925,,0.0062,0.1371,0.1309
348.2460,367.7680,19.5220,5.6058,,5.3672,0.1057,-5.2614
355.2110,357.5960,2.3850,0.6714,0.9961,0.7171,0.0000,-0.7171
367.7180,389.9980,22.2800,6.0590,,0.0551,0.0138,-0.0414
367.8770,382.7620,14.8850,4.0462,,0.3983,0.1596,-0.2386
387.1770,417.8730,30.6960,7.9282,,0.0021,55.2203,55.2182
389.6120,410.9790,21.3670,5.4842,,0.0787,0.0732,-0.0055
390.7480,387.6530,-3.0950,-0.7921,,0.2310,0.6553,0.4243
390.7620,405.5830,14.8210,3.7928,,0.0167,0.0627,0.0460
406.0250,430.9180,24.8930,6.1309,,5.3265,0.0050,-5.3214
408.6320,419.7000,11.0680,2.7085,,0.0212,0.0915,0.0703
422.0650,426.1060,4.0410,0.9574,0.9927,4.0277,0.0000,-4.0277
426.3650,432.5590,6.1940,1.4527,0.9921,7.5171,0.0000,-7.5171
431.4330,459.8710,28.4380,6.5915,,0.0371,0.1806,0.1435
435.7530,455.7380,19.9850,4.5863,,0.1613,0.0433,-0.1180
438.1660,449.7320,11.5660,2.6396,,2.9543,0.0405,-2.9138
448.5110,469.4560,20.9450,4.6699,,0.1834,0.2892,0.1058
453.5840,463.7360,10.1520,2.2382,,0.0114,0.6023,0.5909
458.0160,453.5070,-4.5090,-0.9845,,1.9332,19.8538,17.9206
458.6060,468.2480,9.6420,2.1025,,0.0062,0.0156,0.0094
461.2920,461.9630,0.6710,0.1455,,0.4940,3.8459,3.3520
474.5270,503.5800,29.0530,6.1225,,0.0188,0.0919,0.0731
494.5840,513.7720,19.1880,3.8796,,0.1407,0.3189,0.1782
496.6640,508.8470,12.1830,2.4530,,0.2151,0.7614,0.5463
502.4180,510.9230,8.5050,1.6928,0.9984,0.3986,0.0000,-0.3986
502.8830,519.7360,16.8530,3.3513,,3.0385,0.0425,-2.9960
503.4430,514.8950,11.4520,2.2747,,0.4969,0.1688,-0.3281
506.6130,530.6710,24.0580,4.7488,,2.2190,0.2329,-1.9861
507.6480,525.2220,17.5740,3.4618,,0.3090,0.0151,-0.2939
521.7580,529.7690,8.0110,1.5354,,1.0759,0.4753,-0.6006
522.5580,531.9320,9.3740,1.7939,0.7076,10.5651,0.0000,-10.5651
527.9640,540.7780,12.8140,2.4271,,40.5561,37.5009,-3.0552
