DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
8.9680,24.4570,15.4890,172.7141,0.9994,0.4493,0.0000,-0.4493
58.0560,15.0320,-43.0240,-74.1078,0.9926,0.0483,0.0000,-0.0483
72.9820,51.7330,-21.2490,-29.1154,,0.0128,0.0297,0.0170
83.4790,162.2580,78.7790,94.3698,0.9874,2.7718,0.0000,-2.7718
90.9600,71.8340,-19.1260,-21.0268,0.9826,3.7113,0.0000,-3.7113
116.5300,114.2410,-2.2890,-1.9643,,0.5975,0.3703,-0.2272
118.0760,108.1690,-9.9070,-8.3904,,0.0139,2.2343,2.2204
135.9920,121.2240,-14.7680,-10.8595,,0.0549,0.3148,0.2600
139.9520,143.6760,3.7240,2.6609,0.9979,2.0304,0.0000,-2.0304
157.8440,127.6140,-30.2300,-19.1518,,0.0105,0.4875,0.4770
159.4050,178.2000,18.7950,11.7907,,0.0353,0.0147,-0.0206
162.4590,173.4240,10.9650,6.7494,,0.9974,0.3547,-0.6427
162.8250,170.3630,7.5380,4.6295,,0.0295,0.1806,0.1511
174.9570,123.4150,-51.5420,-29.4598,0.9955,0.2661,0.0000,-0.2661
175.9390,166.4380,-9.5010,-5.4002,,0.2755,0.6106,0.3351
180.8180,184.8660,4.0480,2.2387,,0.0608,0.2292,0.1685
181.4190,181.7700,0.3510,0.1935,,0.1216,0.0455,-0.0761
198.5910,190.2070,-8.3840,-4.2217,,0.1899,1.3309,1.1410
199.2000,191.6720,-7.5280,-3.7791,,0.0018,0.0118,0.0101
200.9930,186.7270,-14.2660,-7.0978,,0.0223,0.3777,0.3554
218.8970,194.4480,-24.4490,-11.1692,,0.0068,0.8512,0.8444
220.8960,230.9880,10.0920,4.5687,,0.0107,0.3567,0.3460
221.2460,224.5730,3.3270,1.5038,,0.0791,0.1425,0.0634
228.9470,234.1420,5.1950,2.2691,0.9961,0.2438,0.0000,-0.2438
231.3200,202.1890,-29.1310,-12.5934,,0.3012,0.0649,-0.2364
239.4090,238.7450,-0.6640,-0.2773,,0.0393,0.0773,0.0380
259.3820,245.0760,-14.3060,-5.5154,,0.0065,0.3442,0.3377
263.3080,256.1380,-7.1700,-2.7230,,0.0113,0.0226,0.0113
267.6320,273.7620,6.1300,2.2905,0.9966,0.7099,0.0000,-0.7099
279.2660,283.0180,3.7520,1.3435,,0.0065,0.0174,0.0109
302.4570,297.8990,-4.5580,-1.5070,,0.2086,0.5484,0.3399
309.2270,312.3300,3.1030,1.0035,0.9953,1.2091,0.0000,-1.2091
309.9330,323.3330,13.4000,4.3235,,1.3559,0.0587,-1.2972
310.4650,319.2260,8.7610,2.8219,,0.0419,3.4566,3.4146
327.7080,331.0610,3.3530,1.0232,,0.0246,0.0435,0.0189
344.6590,332.6800,-11.9790,-3.4756,,0.0092,0.0088,-0.0004
347.6890,363.7110,16.0220,4.6081,,0.0092,0.0923,0.0830
347.7560,337.5460,-10.2100,-2.9360,,0.0062,0.0056,-0.0005
348.2460,359.8790,11.6330,3.3405,,5.3672,0.0840,-5.2831
355.2110,356.8550,1.6440,0.4628,0.9966,0.7171,0.0000,-0.7171
367.7180,375.7700,8.0520,2.1897,,0.0551,0.1583,0.1031
367.8770,371.7910,3.9140,1.0639,,0.3983,0.3115,-0.0868
387.1770,378.0270,-9.1500,-2.3633,,0.0021,0.1213,0.1192
389.6120,401.2370,11.6250,2.9837,,0.0787,0.1009,0.0222
390.7480,380.8050,-9.9430,-2.5446,,0.2310,0.9825,0.7515
390.7620,396.5330,5.7710,1.4769,,0.0167,0.0259,0.0092
406.0250,413.4130,7.3880,1.8196,,5.3265,48.8329,43.5064
408.6320,409.4260,0.7940,0.1943,,0.0212,0.0323,0.0111
422.0650,420.6880,-1.3770,-0.3263,0.9951,4.0277,0.0000,-4.0277
426.3650,432.8160,6.4510,1.5130,0.9925,7.5171,0.0000,-7.5171
431.4330,416.5880,-14.8450,-3.4409,,0.0371,0.0677,0.0306
