DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
239.7840,1151.2440,911.4600,380.1171,0.6869,0.0000,69.9081,69.9081
449.2370,490.9640,41.7270,9.2884,,0.0189,0.4030,0.3841
590.7410,1163.1730,572.4320,96.9007,0.6869,19.5919,185.3843,165.7924
631.4340,1289.3810,657.9470,104.1989,0.6815,4.1924,1101.0648,1096.8724
631.8820,657.6800,25.7980,4.0827,0.6447,4.1620,319.7981,315.6362
832.8280,931.2060,98.3780,11.8125,,0.0000,7.5283,7.5283
878.8360,899.3750,20.5390,2.3371,,0.1088,0.0000,-0.1088
879.6000,928.0280,48.4280,5.5057,,0.1082,7.5292,7.4211
1036.0710,1033.0190,-3.0520,-0.2946,0.6325,38.4496,10.8198,-27.6298
1036.1710,1600.0090,563.8380,54.4155,0.6815,38.3828,358.9237,320.5409
1160.6230,1327.2820,166.6590,14.3594,,0.2928,38.7641,38.4713
1173.2050,1151.2750,-21.9300,-1.8692,0.9461,4.5873,70.1784,65.5911
1173.2760,258.3480,-914.9280,-77.9806,0.6794,4.5874,0.1287,-4.4587
1175.9390,661.8910,-514.0480,-43.7138,0.6794,107.2133,320.3822,213.1689
1213.2880,1295.0370,81.7490,6.7378,,0.5820,2.4882,1.9063
1213.7310,1322.8990,109.1680,8.9944,,0.5819,13.1326,12.5507
1266.0760,1291.9280,25.8520,2.0419,,0.0391,2.4883,2.4492
1266.7720,1260.5650,-6.2070,-0.4900,,5.0919,19.3879,14.2961
1267.8290,1320.9810,53.1520,4.1924,,5.1389,38.5713,33.4323
1268.1620,1284.8160,16.6540,1.3132,,0.1612,5.3774,5.2162
1268.2460,1285.5010,17.2550,1.3605,,0.1611,5.3767,5.2157
1276.2060,1033.9920,-242.2140,-18.9792,0.6738,111.2992,13.7465,-97.5527
1412.0920,1409.5190,-2.5730,-0.1822,,0.0643,2.6061,2.5418
