DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1193.3150,939.4130,-253.9020,-21.2770,3.7010,77.3513,73.6503
1256.1140,906.8350,-349.2790,-27.8063,14.0810,56.7956,42.7146
1508.9160,1160.0450,-348.8710,-23.1206,8.8099,5.7779,-3.0319
1833.9490,1743.6830,-90.2660,-4.9219,123.4474,150.7288,27.2814
2380.1280,1875.4660,-504.6620,-21.2031,0.0279,0.6547,0.6267
2457.6100,1837.3380,-620.2720,-25.2388,0.0000,0.0000,0.0000
2508.0120,1807.2520,-700.7600,-27.9409,0.5427,1.3230,0.7803
2703.2850,2086.9590,-616.3260,-22.7991,0.0423,0.0226,-0.0198
2717.7200,2010.5480,-707.1720,-26.0208,55.3256,1.8101,-53.5155
2789.7400,2698.1790,-91.5610,-3.2821,67.2008,14.5528,-52.6479
2860.9670,2775.5180,-85.4490,-2.9867,98.0362,29.4263,-68.6099
3020.3790,2309.9310,-710.4480,-23.5218,3.4568,1.2078,-2.2489
3022.3770,2671.6730,-350.7040,-11.6036,0.7632,0.0124,-0.7508
3096.1480,2623.9790,-472.1690,-15.2502,10.9100,1.3690,-9.5410
3337.7110,2905.0590,-432.6520,-12.9625,0.2419,0.0552,-0.1868
3651.3280,3460.8030,-190.5250,-5.2180,4.0894,1.5537,-2.5357
3974.3540,3615.5690,-358.7850,-9.0275,0.0306,0.1083,0.0777
3982.6200,3676.0440,-306.5760,-7.6978,0.0000,0.0000,0.0000
4025.0610,3634.7920,-390.2690,-9.6960,0.0396,0.2364,0.1968
4040.0610,3556.8110,-483.2500,-11.9615,0.3549,0.0022,-0.3527
4266.6980,3823.8350,-442.8630,-10.3795,0.0065,0.0123,0.0057
4284.9360,3877.5860,-407.3500,-9.5066,0.6150,0.2974,-0.3176
4624.7800,4441.7640,-183.0160,-3.9573,1.6680,0.0310,-1.6370
4633.7550,4521.9630,-111.7920,-2.4126,4.3247,0.0073,-4.3173
5503.6770,5489.6840,-13.9930,-0.2542,0.2053,0.8770,0.6718
5533.7770,5422.5030,-111.2740,-2.0108,0.0557,0.1722,0.1165
5565.7630,5570.1480,4.3850,0.0788,1.1046,0.2511,-0.8535
