DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1193.3150,939.4130,-253.9020,-21.2770,3.7010,4.4393,0.7383
1256.1140,906.8350,-349.2790,-27.8063,14.0810,9.5763,-4.5047
1508.9160,1160.0450,-348.8710,-23.1206,8.8099,0.2847,-8.5252
1833.9490,1743.6830,-90.2660,-4.9219,123.4474,116.4306,-7.0167
2380.1280,1875.4660,-504.6620,-21.2031,0.0279,2.4990,2.4711
2457.6100,1837.3380,-620.2720,-25.2388,0.0000,0.0000,0.0000
2508.0120,1807.2520,-700.7600,-27.9409,0.5427,0.8752,0.3325
2703.2850,2086.9590,-616.3260,-22.7991,0.0423,0.5112,0.4689
2717.7200,2010.5480,-707.1720,-26.0208,55.3256,4.2973,-51.0282
2789.7400,2698.1790,-91.5610,-3.2821,67.2008,117.3181,50.1174
2860.9670,2775.5180,-85.4490,-2.9867,98.0362,198.1251,100.0889
3020.3790,2309.9310,-710.4480,-23.5218,3.4568,0.8068,-2.6499
3022.3770,2671.6730,-350.7040,-11.6036,0.7632,0.3732,-0.3900
3096.1480,2623.9790,-472.1690,-15.2502,10.9100,13.4302,2.5203
3337.7110,2905.0590,-432.6520,-12.9625,0.2419,2.5463,2.3044
3651.3280,3460.8030,-190.5250,-5.2180,4.0894,6.1744,2.0850
3974.3540,3615.5690,-358.7850,-9.0275,0.0306,0.0385,0.0079
3982.6200,3676.0440,-306.5760,-7.6978,0.0000,0.0000,0.0000
4025.0610,3634.7920,-390.2690,-9.6960,0.0396,0.5232,0.4836
4040.0610,3556.8110,-483.2500,-11.9615,0.3549,0.0156,-0.3393
4266.6980,3823.8350,-442.8630,-10.3795,0.0065,1.1541,1.1475
4284.9360,3877.5860,-407.3500,-9.5066,0.6150,2.2881,1.6730
4624.7800,4441.7640,-183.0160,-3.9573,1.6680,1.4321,-0.2359
4633.7550,4521.9630,-111.7920,-2.4126,4.3247,1.9131,-2.4116
5503.6770,5489.6840,-13.9930,-0.2542,0.2053,0.8916,0.6863
5533.7770,5422.5030,-111.2740,-2.0108,0.0557,0.0764,0.0207
5565.7630,5570.1480,4.3850,0.0788,1.1046,1.5005,0.3959
