DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1193.3150,1182.4400,-10.8750,-0.9113,3.7010,77.4631,73.7621
1256.1140,1240.1360,-15.9780,-1.2720,14.0810,57.5721,43.4911
1508.9160,1489.3050,-19.6110,-1.2997,8.8099,0.1039,-8.7059
1833.9490,1815.6280,-18.3210,-0.9990,123.4474,163.9643,40.5169
2380.1280,2359.3870,-20.7410,-0.8714,0.0279,0.1364,0.1085
2457.6100,2429.7600,-27.8500,-1.1332,0.0000,0.0000,0.0000
2508.0120,2476.7570,-31.2550,-1.2462,0.5427,0.1519,-0.3908
2703.2850,2671.5570,-31.7280,-1.1737,0.0423,0.0213,-0.0210
2717.7200,2709.0950,-8.6250,-0.3174,55.3256,3.6822,-51.6434
2789.7400,2890.8380,101.0980,3.6239,67.2008,9.2988,-57.9020
2860.9670,2938.5220,77.5550,2.7108,98.0362,24.5678,-73.4684
3020.3790,2981.9570,-38.4220,-1.2721,3.4568,0.7038,-2.7529
3022.3770,2993.1760,-29.2010,-0.9662,0.7632,0.0019,-0.7613
3096.1480,3067.7950,-28.3530,-0.9158,10.9100,5.4814,-5.4286
3337.7110,3299.7080,-38.0030,-1.1386,0.2419,0.0192,-0.2227
3651.3280,3613.0270,-38.3010,-1.0490,4.0894,0.9830,-3.1064
3974.3540,4066.3190,91.9650,2.3140,0.0306,0.0805,0.0499
3982.6200,4096.6990,114.0790,2.8644,0.0000,0.0000,0.0000
4025.0610,4142.2870,117.2260,2.9124,0.0396,0.0563,0.0167
4040.0610,4122.4680,82.4070,2.0397,0.3549,0.0244,-0.3305
4266.6980,4342.0760,75.3780,1.7667,0.0065,0.0092,0.0026
4284.9360,4385.8830,100.9470,2.3559,0.6150,0.0806,-0.5344
4624.7800,4707.6830,82.9030,1.7926,1.6680,0.0040,-1.6639
4633.7550,4751.5740,117.8190,2.5426,4.3247,0.0340,-4.2907
5503.6770,5822.6740,318.9970,5.7961,0.2053,0.5719,0.3666
5533.7770,5781.9000,248.1230,4.4838,0.0557,0.1389,0.0832
5565.7630,5862.3250,296.5620,5.3283,1.1046,0.1887,-0.9159
