DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1193.3150,1182.4400,-10.8750,-0.9113,3.7010,4.6714,0.9705
1256.1140,1240.1360,-15.9780,-1.2720,14.0810,10.8618,-3.2192
1508.9160,1489.3050,-19.6110,-1.2997,8.8099,8.6285,-0.1813
1833.9490,1815.6280,-18.3210,-0.9990,123.4474,124.0092,0.5618
2380.1280,2359.3870,-20.7410,-0.8714,0.0279,0.0088,-0.0192
2508.0120,2476.7570,-31.2550,-1.2462,0.5427,0.7343,0.1916
2703.2850,2709.0950,5.8100,0.2149,0.0287,9.2064,9.1777
2860.9670,2890.8380,29.8710,1.0441,98.0362,90.5235,-7.5127
3020.3790,2993.1760,-27.2030,-0.9006,3.4568,0.3406,-3.1162
3096.1480,3067.7950,-28.3530,-0.9158,8.4672,27.5421,19.0749
3337.7110,3299.7080,-38.0030,-1.1386,0.2024,0.3442,0.1418
3651.3280,3613.0270,-38.3010,-1.0490,4.0894,5.7758,1.6864
4040.0610,4066.3190,26.2580,0.6499,0.3594,0.0290,-0.3304
