DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
313.5601,1038.2959,724.7358,231.1314,0.0000,0.0000,0.0000
1006.0463,3140.1891,2134.1428,212.1317,0.0000,20.3362,20.3362
1226.4901,1287.4484,60.9583,4.9701,0.0000,0.0000,0.0000
1226.4902,3120.9369,1894.4467,154.4608,0.0000,0.0000,0.0000
1419.0511,3140.1891,1721.1380,121.2880,0.1474,20.3363,20.1889
1521.6079,1336.3301,-185.2778,-12.1764,6.8895,10.8505,3.9610
1521.6079,1288.5076,-233.1003,-15.3193,6.8894,0.0000,-6.8894
3042.8470,1038.6501,-2004.1969,-65.8658,0.0000,0.0000,0.0000
3044.0338,1257.1601,-1786.8737,-58.7008,57.6572,37.9814,-19.6758
3098.3383,3062.5730,-35.7653,-1.1543,0.0000,6.5315,6.5315
3122.2195,3023.8881,-98.3314,-3.1494,70.4835,0.0000,-70.4835
