DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
313.5601,1038.2959,724.7358,231.1314,0.0000,0.0000,0.0000
828.1665,3140.1891,2312.0226,279.1736,4.6324,45.6291,40.9967
1006.0463,3140.1891,2134.1428,212.1317,0.0000,45.6406,45.6406
1226.4901,1287.4484,60.9583,4.9701,0.0000,0.0000,0.0000
1226.4902,3062.5730,1836.0828,149.7022,0.0000,76.9366,76.9366
1419.0511,3120.9369,1701.8858,119.9313,0.1474,0.0000,-0.1474
1521.6079,1336.3301,-185.2778,-12.1764,6.8895,13.4263,6.5368
1521.6079,1288.5076,-233.1003,-15.3193,6.8894,0.0000,-6.8894
3042.8470,1038.6501,-2004.1969,-65.8658,0.0000,0.0000,0.0000
3044.0338,1257.1601,-1786.8737,-58.7008,57.6572,3.7383,-53.9189
3098.3383,3023.8881,-74.4502,-2.4029,0.0000,0.0000,0.0000
3122.2195,1336.3301,-1785.8894,-57.1994,70.4835,13.4190,-57.0645
