DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
313.5601,299.0470,-14.5131,-4.6285,0.0000,0.0000,0.0000
1226.4901,1214.4069,-12.0832,-0.9852,0.0000,0.0000,0.0000
1226.4902,1494.8259,268.3357,21.8783,0.0000,12.1119,12.1119
1419.0511,1494.8259,75.7748,5.3398,0.1474,12.1120,11.9646
1521.6079,1214.4070,-307.2009,-20.1892,6.8895,0.0000,-6.8895
1521.6079,1399.1669,-122.4410,-8.0468,6.8894,38.3309,31.4415
3042.8470,3054.0258,11.1788,0.3674,0.0000,6.1821,6.1821
3044.0338,3054.6475,10.6137,0.3487,57.6572,0.0000,-57.6572
3098.3383,3128.2562,29.9179,0.9656,0.0000,20.8056,20.8056
3122.2195,3104.0302,-18.1893,-0.5826,70.4835,0.0000,-70.4835
