DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
313.5601,299.0470,-14.5131,-4.6285,0.0000,0.0000,0.0000
1226.4901,1017.0747,-209.4154,-17.0744,0.0000,0.0000,0.0000
1226.4902,1494.8259,268.3357,21.8783,0.0000,14.6226,14.6226
1419.0511,1493.1312,74.0801,5.2204,0.1474,0.0000,-0.1474
1521.6079,1214.4069,-307.2010,-20.1892,6.8895,0.0000,-6.8895
1521.6079,1214.4070,-307.2009,-20.1892,6.8894,0.0000,-6.8894
3042.8470,1494.8259,-1548.0211,-50.8741,0.0000,14.6303,14.6303
3044.0338,3054.0258,9.9920,0.3282,57.6572,77.3079,19.6507
3098.3383,3104.0302,5.6919,0.1837,0.0000,0.0000,0.0000
3122.2195,3054.6475,-67.5720,-2.1642,70.4835,0.0000,-70.4835
