DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
31.6552,-127.8207,-159.4759,-503.7910,0.7767,1.1993,17.5362,16.3369
82.4204,-32.7169,-115.1372,-139.6951,0.7223,2.0878,19.7018,17.6140
87.5414,88.8287,1.2873,1.4705,0.6286,4.5869,1.5833,-3.0036
100.5237,-68.6737,-169.1974,-168.3160,0.8633,0.9202,1.9948,1.0746
118.3226,-264.4175,-382.7401,-323.4718,0.9878,0.0287,0.0997,0.0710
231.5486,183.6456,-47.9031,-20.6881,0.9574,0.3849,1.2608,0.8759
272.6319,170.5893,-102.0427,-37.4287,0.8431,0.7574,8.6991,7.9417
311.2450,274.0827,-37.1623,-11.9399,0.8540,1.3991,5.7623,4.3632
358.5020,303.4198,-55.0823,-15.3646,0.9191,1.2818,7.2234,5.9416
424.3600,373.9881,-50.3719,-11.8701,0.8311,4.4329,31.5776,27.1447
433.8709,224.6013,-209.2696,-48.2331,0.9179,6.4803,38.9828,32.5025
527.7836,465.5104,-62.2733,-11.7990,0.5885,11.8329,27.9546,16.1217
558.3964,507.4333,-50.9631,-9.1267,0.8424,3.6936,47.9004,44.2068
579.0552,524.6398,-54.4154,-9.3973,0.9286,18.5607,220.6885,202.1278
600.7769,349.6706,-251.1063,-41.7969,0.9699,71.8149,424.2771,352.4622
643.5292,584.2332,-59.2960,-9.2142,0.9649,34.5283,78.2802,43.7519
668.7701,614.1772,-54.5929,-8.1632,0.6319,10.1610,425.3014,415.1404
715.5391,479.5350,-236.0041,-32.9827,0.6066,49.4566,42.0119,-7.4447
775.4050,708.8459,-66.5591,-8.5838,0.7358,20.8241,86.6668,65.8427
803.7763,684.8386,-118.9377,-14.7974,0.8252,0.2939,403.7025,403.4086
893.3006,736.4547,-156.8459,-17.5580,0.9106,6.9188,37.8315,30.9127
972.2650,797.6396,-174.6254,-17.9607,0.4996,3.5951,30.0461,26.4510
998.6246,835.5993,-163.0253,-16.3250,0.9463,0.0918,3.8844,3.7926
1022.0356,918.0128,-104.0228,-10.1780,0.9280,63.4668,39.4449,-24.0219
1062.3506,887.6078,-174.7429,-16.4487,0.8517,11.5983,104.9331,93.3348
1069.2192,1020.1328,-49.0864,-4.5909,0.6118,2.4416,145.2887,142.8471
1159.5937,1064.3002,-95.2935,-8.2178,0.7278,35.8495,169.8322,133.9827
1187.8271,1091.0834,-96.7437,-8.1446,0.7509,78.8362,83.0386,4.2024
1207.7431,1087.1130,-120.6300,-9.9881,0.7507,211.4210,59.6297,-151.7913
1301.1184,1228.6378,-72.4806,-5.5706,0.8824,9.5497,50.0663,40.5166
1353.7908,1186.0657,-167.7250,-12.3893,0.7403,4.5625,57.5384,52.9759
1388.2348,1320.4829,-67.7519,-4.8804,0.9603,110.5119,218.2179,107.7060
1403.6855,1223.5399,-180.1457,-12.8338,0.7511,79.2280,141.2562,62.0282
1484.9614,1350.6469,-134.3145,-9.0450,0.7478,10.8499,28.0175,17.1676
1491.1779,1418.5937,-72.5842,-4.8676,0.5962,4.4505,173.0909,168.6404
1527.5159,1436.5666,-90.9493,-5.9541,0.8850,42.2207,39.0192,-3.2015
1630.2579,1522.4899,-107.7680,-6.6105,0.9303,17.0089,68.5023,51.4934
1661.1231,1544.9077,-116.2154,-6.9962,0.9701,41.8812,86.6003,44.7191
1811.7834,1790.4079,-21.3756,-1.1798,0.9491,354.4277,336.8324,-17.5953
1866.9618,1879.1283,12.1665,0.6517,0.9783,204.7861,265.9691,61.1830
3071.0135,3024.9315,-46.0820,-1.5005,0.9872,1.5808,15.7753,14.1945
3143.6019,3085.6038,-57.9980,-1.8450,0.9845,3.9473,52.9472,48.9999
3181.5335,3139.1436,-42.3899,-1.3324,0.9941,7.8024,52.8814,45.0790
3191.7486,3180.3073,-11.4412,-0.3585,0.9002,2.9245,57.9281,55.0036
3207.2242,3210.3904,3.1661,0.0987,0.8090,14.4006,116.2725,101.8719
3219.4261,3189.9790,-29.4471,-0.9147,0.9378,5.7814,179.1357,173.3543
3236.4610,3224.3969,-12.0642,-0.3728,0.9462,2.3085,194.9557,192.6472
3767.0797,3797.9601,30.8805,0.8197,0.9993,81.9611,612.2570,530.2959
