DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
31.6552,-127.8207,-159.4759,-503.7910,0.7767,1.1993,2.6221,1.4228
82.4204,-32.7169,-115.1372,-139.6951,0.7223,2.0878,6.8483,4.7605
87.5414,88.8287,1.2873,1.4705,0.6286,4.5869,4.2421,-0.3448
100.5237,-68.6737,-169.1974,-168.3160,0.8633,0.9202,0.4925,-0.4277
118.3226,-264.4175,-382.7401,-323.4718,0.9878,0.0287,0.5833,0.5546
231.5486,183.6456,-47.9031,-20.6881,0.9574,0.3849,1.0320,0.6471
272.6319,170.5893,-102.0427,-37.4287,0.8431,0.7574,1.2476,0.4902
311.2450,274.0827,-37.1623,-11.9399,0.8540,1.3991,2.8138,1.4147
358.5020,303.4198,-55.0823,-15.3646,0.9191,1.2818,2.7696,1.4878
424.3600,373.9881,-50.3719,-11.8701,0.8311,4.4329,20.3168,15.8839
433.8709,224.6013,-209.2696,-48.2331,0.9179,6.4803,5.1087,-1.3716
527.7836,465.5104,-62.2733,-11.7990,0.5885,11.8329,17.1825,5.3496
558.3964,507.4333,-50.9631,-9.1267,0.8424,3.6936,9.5186,5.8250
579.0552,524.6398,-54.4154,-9.3973,0.9286,18.5607,8.9078,-9.6529
600.7769,349.6706,-251.1063,-41.7969,0.9699,71.8149,72.9661,1.1512
643.5292,584.2332,-59.2960,-9.2142,0.9649,34.5283,15.5863,-18.9420
668.7701,614.1772,-54.5929,-8.1632,0.6319,10.1610,26.5917,16.4307
715.5391,479.5350,-236.0041,-32.9827,0.6066,49.4566,40.3717,-9.0849
775.4050,708.8459,-66.5591,-8.5838,0.7358,20.8241,40.9483,20.1242
803.7763,684.8386,-118.9377,-14.7974,0.8252,0.2939,65.7052,65.4113
893.3006,736.4547,-156.8459,-17.5580,0.9106,6.9188,1.6996,-5.2192
972.2650,797.6396,-174.6254,-17.9607,0.4996,3.5951,11.8221,8.2270
998.6246,835.5993,-163.0253,-16.3250,0.9463,0.0918,0.3212,0.2294
1022.0356,918.0128,-104.0228,-10.1780,0.9280,63.4668,6.8686,-56.5982
1062.3506,887.6078,-174.7429,-16.4487,0.8517,11.5983,19.0075,7.4092
1069.2192,1020.1328,-49.0864,-4.5909,0.6118,2.4416,80.2587,77.8171
1159.5937,1064.3002,-95.2935,-8.2178,0.7278,35.8495,167.4596,131.6101
1187.8271,1091.0834,-96.7437,-8.1446,0.7509,78.8362,12.2124,-66.6238
1207.7431,1087.1130,-120.6300,-9.9881,0.7507,211.4210,24.3348,-187.0862
1301.1184,1228.6378,-72.4806,-5.5706,0.8824,9.5497,11.2384,1.6887
1353.7908,1186.0657,-167.7250,-12.3893,0.7403,4.5625,67.7435,63.1810
1388.2348,1320.4829,-67.7519,-4.8804,0.9603,110.5119,127.7171,17.2052
1403.6855,1223.5399,-180.1457,-12.8338,0.7511,79.2280,85.9142,6.6862
1484.9614,1350.6469,-134.3145,-9.0450,0.7478,10.8499,29.6885,18.8386
1491.1779,1418.5937,-72.5842,-4.8676,0.5962,4.4505,5.0915,0.6410
1527.5159,1436.5666,-90.9493,-5.9541,0.8850,42.2207,27.0625,-15.1582
1630.2579,1522.4899,-107.7680,-6.6105,0.9303,17.0089,22.8478,5.8389
1661.1231,1544.9077,-116.2154,-6.9962,0.9701,41.8812,29.7746,-12.1066
1811.7834,1790.4079,-21.3756,-1.1798,0.9491,354.4277,120.0922,-234.3355
1866.9618,1879.1283,12.1665,0.6517,0.9783,204.7861,195.2337,-9.5524
3071.0135,3024.9315,-46.0820,-1.5005,0.9872,1.5808,5.8191,4.2383
3143.6019,3085.6038,-57.9980,-1.8450,0.9845,3.9473,11.8121,7.8648
3181.5335,3139.1436,-42.3899,-1.3324,0.9941,7.8024,3.4701,-4.3323
3191.7486,3180.3073,-11.4412,-0.3585,0.9002,2.9245,13.8490,10.9245
3207.2242,3210.3904,3.1661,0.0987,0.8090,14.4006,55.4245,41.0239
3219.4261,3189.9790,-29.4471,-0.9147,0.9378,5.7814,121.2229,115.4415
3236.4610,3224.3969,-12.0642,-0.3728,0.9462,2.3085,63.7238,61.4153
3767.0797,3797.9601,30.8805,0.8197,0.9993,81.9611,71.0159,-10.9452
