DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
31.6552,27.6979,-3.9573,-12.5012,0.9360,1.1993,3.3431,2.1438
82.4204,91.9197,9.4994,11.5255,0.7114,2.0878,20.5911,18.5033
87.5414,98.3583,10.8169,12.3563,0.6701,4.5869,14.9439,10.3570
100.5237,109.9433,9.4197,9.3706,0.8780,0.9202,2.5377,1.6175
118.3226,160.3995,42.0769,35.5612,0.9893,0.0287,0.8753,0.8466
141.4341,148.5931,7.1590,5.0617,0.9330,1.3998,1.7352,0.3354
231.5486,236.7026,5.1540,2.2259,0.9952,0.3849,0.4839,0.0990
272.6319,278.5959,5.9640,2.1876,0.9976,0.7574,6.4788,5.7214
311.2450,316.4216,5.1766,1.6632,0.9981,1.3991,3.7875,2.3884
358.5020,361.9329,3.4309,0.9570,0.9924,1.2818,1.5886,0.3068
424.3600,426.7393,2.3793,0.5607,0.9822,4.4329,14.1694,9.7365
433.8709,439.6600,5.7891,1.3343,0.9916,6.4803,20.7330,14.2527
515.4527,522.3555,6.9028,1.3392,0.9905,4.4910,5.9061,1.4151
527.7836,537.8949,10.1112,1.9158,0.9867,11.8329,20.5897,8.7568
558.3964,563.2829,4.8864,0.8751,0.9883,3.6936,35.0714,31.3778
579.0552,597.1869,18.1318,3.1313,0.9927,18.5607,173.0374,154.4767
600.7769,620.4390,19.6620,3.2728,0.9964,71.8149,328.9204,257.1055
643.5292,649.0159,5.4867,0.8526,0.9892,34.5283,59.6765,25.1482
668.7701,677.3694,8.5993,1.2858,0.9934,10.1610,10.6666,0.5056
715.5391,731.0177,15.4785,2.1632,0.9943,49.4566,316.2137,266.7571
745.6997,759.3424,13.6427,1.8295,0.9847,33.1874,261.7856,228.5982
775.4050,792.4923,17.0873,2.2037,0.9801,20.8241,429.2121,408.3880
803.7763,826.8602,23.0839,2.8719,0.9892,0.2939,27.6382,27.3443
839.3238,856.1544,16.8305,2.0052,0.9943,18.1804,112.9898,94.8094
893.3006,913.7610,20.4604,2.2904,0.9935,6.9188,15.8009,8.8821
928.4837,948.4775,19.9938,2.1534,0.9770,40.5982,86.9173,46.3191
972.2650,1007.2458,34.9809,3.5979,0.9973,3.5951,10.0258,6.4307
998.6246,1037.2876,38.6630,3.8716,0.9980,0.0918,0.0651,-0.0267
1022.0356,1028.6062,6.5707,0.6429,0.9939,63.4668,17.7588,-45.7080
1062.3506,1067.1169,4.7662,0.4486,0.9963,11.5983,180.9272,169.3289
1069.2192,1079.3531,10.1339,0.9478,0.9955,2.4416,85.0218,82.5802
1090.7014,1102.1191,11.4177,1.0468,0.9938,139.0051,195.9868,56.9817
1159.5937,1166.1336,6.5399,0.5640,0.9665,35.8495,2.8609,-32.9886
1187.8271,1183.1838,-4.6433,-0.3909,0.9705,78.8362,25.3867,-53.4495
1207.7431,1225.4063,17.6632,1.4625,0.9916,211.4210,326.8991,115.4781
1222.9387,1238.2676,15.3289,1.2534,0.9850,498.8877,214.4292,-284.4585
1253.4455,1263.4059,9.9604,0.7946,0.9939,13.0776,29.1957,16.1181
1301.1184,1307.8674,6.7491,0.5187,0.9624,9.5497,43.7723,34.2226
1353.7908,1322.5128,-31.2780,-2.3104,0.7561,4.5625,19.0174,14.4549
1388.2348,1391.3960,3.1612,0.2277,0.9844,110.5119,131.8762,21.3643
1403.6855,1399.2414,-4.4441,-0.3166,0.9961,79.2280,191.2690,112.0410
1484.9614,1469.7414,-15.2200,-1.0249,0.9816,10.8499,24.8373,13.9874
1487.8954,1474.9278,-12.9676,-0.8715,0.8897,18.7139,26.3356,7.6217
1491.1779,1500.4667,9.2888,0.6229,0.7076,4.4505,117.0497,112.5992
1527.5159,1540.6063,13.0904,0.8570,0.9984,42.2207,134.3418,92.1211
1630.2579,1656.2043,25.9464,1.5915,0.9921,17.0089,35.4184,18.4095
1661.1231,1688.9591,27.8361,1.6757,0.9927,41.8812,82.3661,40.4849
1811.7834,1823.2715,11.4881,0.6341,0.9961,354.4277,412.4027,57.9750
1866.9618,1859.7608,-7.2010,-0.3857,0.9947,204.7861,309.9818,105.1957
3071.0135,3069.9259,-1.0877,-0.0354,0.9966,1.5808,16.2148,14.6340
3143.6019,3138.2245,-5.3773,-0.1711,0.9962,3.9473,52.4443,48.4970
3181.5335,3177.2742,-4.2593,-0.1339,0.9980,7.8024,52.4906,44.6882
3191.7486,3190.3538,-1.3948,-0.0437,0.9923,2.9245,19.0635,16.1390
3207.2242,3206.0100,-1.2142,-0.0379,0.9590,14.4006,152.4484,138.0478
3219.4261,3213.6476,-5.7785,-0.1795,0.9642,5.7814,227.3677,221.5863
3236.4610,3230.3149,-6.1462,-0.1899,0.9960,2.3085,143.8976,141.5891
3767.0797,3771.8653,4.7856,0.1270,0.9994,81.9611,610.8594,528.8983
