DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
31.6552,26.0881,-5.5670,-17.5864,0.9882,1.1993,3.1867,1.9874
87.5414,87.0165,-0.5249,-0.5996,0.8874,4.5869,19.3637,14.7768
118.3226,110.5221,-7.8005,-6.5926,0.9419,0.0287,5.6961,5.6674
141.4341,143.9426,2.5084,1.7736,0.9939,1.3998,2.6123,1.2125
231.5486,235.6149,4.0663,1.7561,0.9982,0.3849,0.4642,0.0793
272.6319,277.5353,4.9034,1.7985,0.9975,0.7574,5.5431,4.7857
311.2450,313.7540,2.5090,0.8061,0.9986,1.3991,3.8190,2.4199
358.5020,360.2658,1.7638,0.4920,0.9939,1.2818,1.5995,0.3177
424.3600,423.6057,-0.7544,-0.1778,0.9754,4.4329,13.3154,8.8825
433.8709,435.6884,1.8175,0.4189,0.9935,6.4803,30.7033,24.2230
515.4527,517.6587,2.2060,0.4280,0.9860,4.4910,5.7324,1.2414
527.7836,532.9716,5.1880,0.9830,0.9821,11.8329,20.5819,8.7490
558.3964,560.3688,1.9724,0.3532,0.9845,3.6936,30.9190,27.2254
579.0552,589.4424,10.3873,1.7938,0.8658,18.5607,224.0744,205.5137
600.7769,590.8165,-9.9604,-1.6579,0.9725,71.8149,323.3835,251.5686
643.5292,644.1185,0.5892,0.0916,0.9967,34.5283,67.1970,32.6687
668.7701,674.6543,5.8842,0.8799,0.9855,10.1610,16.7890,6.6280
715.5391,725.6589,10.1198,1.4143,0.9760,49.4566,338.0854,288.6288
745.6997,753.0327,7.3330,0.9834,0.9894,33.1874,274.0497,240.8623
775.4050,785.1396,9.7346,1.2554,0.9896,20.8241,350.7988,329.9747
803.7763,819.9235,16.1472,2.0089,0.9791,0.2939,39.2540,38.9601
839.3238,851.7904,12.4665,1.4853,0.9951,18.1804,80.9001,62.7197
893.3006,905.8155,12.5149,1.4010,0.9970,6.9188,26.5299,19.6111
928.4837,945.0609,16.5772,1.7854,0.9913,40.5982,81.5500,40.9518
972.2650,999.9932,27.7282,2.8519,0.9990,3.5951,10.0562,6.4611
998.6246,1029.9523,31.3278,3.1371,0.9988,0.0918,0.0207,-0.0711
1022.0356,1020.4171,-1.6185,-0.1584,0.9954,63.4668,17.9733,-45.4935
1062.3506,1057.7024,-4.6482,-0.4375,0.9954,11.5983,182.2582,170.6599
1069.2192,1075.6794,6.4602,0.6042,0.9952,2.4416,91.3962,88.9546
1090.7014,1096.0658,5.3644,0.4918,0.9972,139.0051,209.5191,70.5140
1159.5937,1159.6846,0.0909,0.0078,0.9764,35.8495,3.9674,-31.8821
1187.8271,1174.9111,-12.9160,-1.0874,0.9808,78.8362,28.5413,-50.2949
1207.7431,1211.4641,3.7211,0.3081,0.9845,211.4210,342.9312,131.5102
1222.9387,1233.2238,10.2851,0.8410,0.9708,498.8877,182.4822,-316.4055
1253.4455,1260.2118,6.7664,0.5398,0.9913,13.0776,31.9476,18.8700
1301.1184,1299.9568,-1.1616,-0.0893,0.9907,9.5497,33.7070,24.1573
1353.7908,1322.6341,-31.1566,-2.3014,0.8938,4.5625,22.4805,17.9180
1388.2348,1380.0966,-8.1381,-0.5862,0.9874,110.5119,137.4299,26.9180
1403.6855,1392.0109,-11.6747,-0.8317,0.9963,79.2280,190.5212,111.2932
1484.9614,1460.2359,-24.7255,-1.6651,0.9929,10.8499,24.1856,13.3357
1487.8954,1464.6425,-23.2529,-1.5628,0.8912,18.7139,25.2512,6.5373
1491.1779,1494.9263,3.7485,0.2514,0.6989,4.4505,111.5665,107.1160
1527.5159,1537.4048,9.8889,0.6474,0.9975,42.2207,131.7999,89.5792
1630.2579,1656.6200,26.3620,1.6170,0.9925,17.0089,39.2463,22.2374
1661.1231,1685.4078,24.2847,1.4619,0.9951,41.8812,78.4543,36.5731
1811.7834,1816.4811,4.6976,0.2593,0.9966,354.4277,415.6754,61.2477
1866.9618,1852.9456,-14.0163,-0.7508,0.9953,204.7861,301.9063,97.1202
3071.0135,3079.4773,8.4638,0.2756,0.9966,1.5808,16.2987,14.7179
3143.6019,3149.5688,5.9669,0.1898,0.9961,3.9473,52.2598,48.3125
3181.5335,3186.3402,4.8067,0.1511,0.9979,7.8024,52.7268,44.9244
3191.7486,3197.3549,5.6063,0.1757,0.9955,2.9245,19.4499,16.5254
3207.2242,3212.9413,5.7171,0.1783,0.9826,14.4006,148.8232,134.4226
3219.4261,3221.6939,2.2678,0.0704,0.9874,5.7814,229.9198,224.1384
3236.4610,3234.9085,-1.5525,-0.0480,0.9926,2.3085,145.1752,142.8667
3767.0797,3767.5537,0.4740,0.0126,0.9994,81.9611,610.8267,528.8656
