DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
31.6552,26.0881,-5.5670,-17.5864,0.9882,1.1993,0.7703,-0.4290
87.5414,87.0165,-0.5249,-0.5996,0.8874,4.5869,10.4138,5.8269
118.3226,110.5221,-7.8005,-6.5926,0.9419,0.0287,0.3083,0.2796
141.4341,143.9426,2.5084,1.7736,0.9939,1.3998,0.4832,-0.9166
231.5486,235.6149,4.0663,1.7561,0.9982,0.3849,0.9234,0.5385
272.6319,277.5353,4.9034,1.7985,0.9975,0.7574,1.4377,0.6803
311.2450,313.7540,2.5090,0.8061,0.9986,1.3991,2.9615,1.5624
358.5020,360.2658,1.7638,0.4920,0.9939,1.2818,1.6210,0.3392
424.3600,423.6057,-0.7544,-0.1778,0.9754,4.4329,16.3672,11.9343
433.8709,435.6884,1.8175,0.4189,0.9935,6.4803,4.3852,-2.0951
515.4527,517.6587,2.2060,0.4280,0.9860,4.4910,7.1921,2.7011
527.7836,532.9716,5.1880,0.9830,0.9821,11.8329,19.9660,8.1331
558.3964,560.3688,1.9724,0.3532,0.9845,3.6936,10.1761,6.4825
579.0552,589.4424,10.3873,1.7938,0.8658,18.5607,21.9140,3.3533
600.7769,590.8165,-9.9604,-1.6579,0.9725,71.8149,68.2282,-3.5867
643.5292,644.1185,0.5892,0.0916,0.9967,34.5283,8.4092,-26.1191
668.7701,674.6543,5.8842,0.8799,0.9855,10.1610,17.5990,7.4380
715.5391,725.6589,10.1198,1.4143,0.9760,49.4566,68.0852,18.6286
745.6997,753.0327,7.3330,0.9834,0.9894,33.1874,38.7772,5.5898
775.4050,785.1396,9.7346,1.2554,0.9896,20.8241,21.6818,0.8577
803.7763,819.9235,16.1472,2.0089,0.9791,0.2939,1.8830,1.5891
839.3238,851.7904,12.4665,1.4853,0.9951,18.1804,18.2220,0.0416
893.3006,905.8155,12.5149,1.4010,0.9970,6.9188,0.6614,-6.2574
928.4837,945.0609,16.5772,1.7854,0.9913,40.5982,15.9318,-24.6664
972.2650,999.9932,27.7282,2.8519,0.9990,3.5951,6.4020,2.8069
998.6246,1029.9523,31.3278,3.1371,0.9988,0.0918,0.6184,0.5266
1022.0356,1020.4171,-1.6185,-0.1584,0.9954,63.4668,16.1698,-47.2970
1062.3506,1057.7024,-4.6482,-0.4375,0.9954,11.5983,14.0908,2.4925
1069.2192,1075.6794,6.4602,0.6042,0.9952,2.4416,16.6403,14.1987
1090.7014,1096.0658,5.3644,0.4918,0.9972,139.0051,99.2089,-39.7962
1159.5937,1159.6846,0.0909,0.0078,0.9764,35.8495,45.2218,9.3723
1187.8271,1174.9111,-12.9160,-1.0874,0.9808,78.8362,31.3295,-47.5067
1207.7431,1211.4641,3.7211,0.3081,0.9845,211.4210,104.6902,-106.7308
1222.9387,1233.2238,10.2851,0.8410,0.9708,498.8877,115.9937,-382.8940
1253.4455,1260.2118,6.7664,0.5398,0.9913,13.0776,26.4513,13.3737
1301.1184,1299.9568,-1.1616,-0.0893,0.9907,9.5497,21.9280,12.3783
1353.7908,1322.6341,-31.1566,-2.3014,0.8938,4.5625,46.2431,41.6806
1388.2348,1380.0966,-8.1381,-0.5862,0.9874,110.5119,104.8507,-5.6612
1403.6855,1392.0109,-11.6747,-0.8317,0.9963,79.2280,41.6144,-37.6136
1484.9614,1460.2359,-24.7255,-1.6651,0.9929,10.8499,39.8070,28.9571
1487.8954,1464.6425,-23.2529,-1.5628,0.8912,18.7139,38.7048,19.9909
1491.1779,1494.9263,3.7485,0.2514,0.6989,4.4505,14.0197,9.5692
1527.5159,1537.4048,9.8889,0.6474,0.9975,42.2207,30.0804,-12.1403
1630.2579,1656.6200,26.3620,1.6170,0.9925,17.0089,13.0379,-3.9710
1661.1231,1685.4078,24.2847,1.4619,0.9951,41.8812,36.2557,-5.6255
1811.7834,1816.4811,4.6976,0.2593,0.9966,354.4277,133.2140,-221.2137
1866.9618,1852.9456,-14.0163,-0.7508,0.9953,204.7861,183.1654,-21.6207
3071.0135,3079.4773,8.4638,0.2756,0.9966,1.5808,5.8586,4.2778
3143.6019,3149.5688,5.9669,0.1898,0.9961,3.9473,11.6526,7.7053
3181.5335,3186.3402,4.8067,0.1511,0.9979,7.8024,3.3969,-4.4055
3191.7486,3197.3549,5.6063,0.1757,0.9955,2.9245,13.3712,10.4467
3207.2242,3212.9413,5.7171,0.1783,0.9826,14.4006,6.1634,-8.2372
3219.4261,3221.6939,2.2678,0.0704,0.9874,5.7814,172.4151,166.6337
3236.4610,3234.9085,-1.5525,-0.0480,0.9926,2.3085,62.7656,60.4571
3767.0797,3767.5537,0.4740,0.0126,0.9994,81.9611,68.9485,-13.0126
