DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
264.2108,-254.2938,-518.5046,-196.2466,0.6057,0.0000,0.0000,0.0000
633.4172,776.3658,142.9486,22.5678,0.9945,13.9589,42.4706,28.5117
638.8962,590.9328,-47.9634,-7.5072,0.6930,3.5506,361.4498,357.8992
638.9373,590.9329,-48.0044,-7.5132,0.6930,3.5495,361.4498,357.9003
1069.3688,823.5141,-245.8546,-22.9906,0.6194,40.5449,52.3414,11.7965
1069.3705,823.5141,-245.8564,-22.9908,0.6195,40.5380,52.3415,11.8035
1196.3052,996.5116,-199.7937,-16.7009,0.9659,108.8958,140.4689,31.5731
1203.5901,2310.2072,1106.6171,91.9430,0.6782,3.4626,103.2455,99.7829
1203.6031,2310.2072,1106.6040,91.9409,0.6783,3.4652,103.2454,99.7802
1329.6317,1130.4331,-199.1985,-14.9815,0.9421,113.4355,1285.0868,1171.6513
1676.1774,3528.9646,1852.7872,110.5365,0.6741,27.5467,659.7340,632.1873
1676.1854,3528.9646,1852.7791,110.5355,0.6741,27.5494,659.7340,632.1846
2471.6628,2352.9881,-118.6747,-4.8014,0.6280,67.2373,11.6731,-55.5642
2531.6932,884.6185,-1647.0747,-65.0582,0.6348,231.2685,3.6808,-227.5877
2531.6959,884.6184,-1647.0774,-65.0583,0.6348,231.2664,3.6808,-227.5856
3463.3702,3395.6163,-67.7539,-1.9563,0.6464,2.4928,183.5364,181.0436
3580.2019,1527.1616,-2053.0403,-57.3443,0.6779,27.8836,414.3723,386.4887
3580.2175,1527.1615,-2053.0560,-57.3444,0.6779,27.8833,414.3723,386.4890
