DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
264.2108,-254.2938,-518.5046,-196.2466,0.6057,0.0000,0.0000,0.0000
633.4172,776.3658,142.9486,22.5678,0.9945,13.9589,7.4858,-6.4731
638.8962,590.9328,-47.9634,-7.5072,0.6930,3.5506,1.5745,-1.9761
638.9373,590.9329,-48.0044,-7.5132,0.6930,3.5495,1.5743,-1.9752
1069.3688,823.5141,-245.8546,-22.9906,0.6194,40.5449,4.5613,-35.9836
1069.3705,823.5141,-245.8564,-22.9908,0.6195,40.5380,4.5592,-35.9788
1196.3052,996.5116,-199.7937,-16.7009,0.9659,108.8958,187.8164,78.9206
1203.5901,2310.2072,1106.6171,91.9430,0.6782,3.4626,212.9563,209.4937
1203.6031,2310.2072,1106.6040,91.9409,0.6783,3.4652,212.9334,209.4682
1329.6317,1130.4331,-199.1985,-14.9815,0.9421,113.4355,85.0483,-28.3872
1676.1774,3528.9646,1852.7872,110.5365,0.6741,27.5467,26.4734,-1.0733
1676.1854,3528.9646,1852.7791,110.5355,0.6741,27.5494,26.4714,-1.0780
2471.6628,2352.9881,-118.6747,-4.8014,0.6280,67.2373,90.2411,23.0038
2531.6932,884.6185,-1647.0747,-65.0582,0.6348,231.2685,22.0145,-209.2540
2531.6959,884.6184,-1647.0774,-65.0583,0.6348,231.2664,22.0091,-209.2573
3463.3702,3395.6163,-67.7539,-1.9563,0.6464,2.4928,11.0810,8.5882
3580.2019,1527.1616,-2053.0403,-57.3443,0.6779,27.8836,20.8242,-7.0594
3580.2175,1527.1615,-2053.0560,-57.3444,0.6779,27.8833,20.8220,-7.0613
