DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
264.2108,235.4747,-28.7360,-10.8762,0.6057,0.0000,0.0000,0.0000
633.4172,674.2852,40.8680,6.4520,0.9980,13.9589,58.8979,44.9390
638.8962,645.4944,6.5982,1.0328,0.6962,3.5506,312.3429,308.7923
638.9373,645.4945,6.5572,1.0263,0.6962,3.5495,312.3429,308.7934
1069.3688,1054.7575,-14.6113,-1.3663,0.8187,40.5449,11.2729,-29.2720
1069.3705,1054.7575,-14.6130,-1.3665,0.8187,40.5380,11.2730,-29.2650
1196.3052,1173.2966,-23.0086,-1.9233,0.9636,108.8958,177.7694,68.8736
1203.5901,2515.4445,1311.8544,108.9951,0.6737,3.4626,112.2968,108.8342
1203.6031,2515.4444,1311.8413,108.9928,0.6738,3.4652,112.2968,108.8316
1329.6317,1325.4534,-4.1782,-0.3142,0.9461,113.4355,1246.6438,1133.2083
1676.1774,3569.9626,1893.7853,112.9824,0.6794,27.5467,651.3781,623.8314
1676.1854,3569.9626,1893.7771,112.9814,0.6794,27.5494,651.3781,623.8287
2471.6628,2457.5494,-14.1134,-0.5710,0.6325,67.2373,16.3345,-50.9028
2531.6932,1183.3606,-1348.3326,-53.2581,0.6815,231.2685,71.1794,-160.0891
2531.6959,1183.3607,-1348.3352,-53.2582,0.6815,231.2664,71.1794,-160.0870
3463.3702,3466.5868,3.2166,0.0929,0.6447,2.4928,163.5901,161.0973
3580.2019,1660.8011,-1919.4008,-53.6115,0.6869,27.8836,436.3536,408.4700
3580.2175,1660.8010,-1919.4164,-53.6117,0.6869,27.8833,436.3536,408.4703
