DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
62.7026,68.2716,5.5690,8.8817,0.9995,6.5061,36.9001,30.3940
230.6567,200.2021,-30.4547,-13.2035,0.9985,48.9898,277.4912,228.5014
259.4495,258.4857,-0.9637,-0.3715,0.9999,9.9650,28.1340,18.1690
463.4821,467.6029,4.1208,0.8891,0.9998,32.4756,60.8010,28.3254
509.7619,506.5598,-3.2022,-0.6282,0.9954,32.8071,90.8308,58.0237
636.8517,639.3460,2.4944,0.3917,0.9991,8.6752,11.8338,3.1586
671.9796,647.7494,-24.2302,-3.6058,0.9973,102.0848,605.1878,503.1030
829.6584,830.9383,1.2799,0.1543,0.9707,75.9721,614.9268,538.9547
926.0826,916.3270,-9.7555,-1.0534,0.9997,3.6437,256.9802,253.3365
943.9386,921.0599,-22.8787,-2.4238,0.9873,162.6510,722.6883,560.0373
1140.6514,1146.2036,5.5523,0.4868,0.9873,124.1561,215.7599,91.6038
1175.6523,1175.7028,0.0505,0.0043,0.9926,154.1015,258.6361,104.5346
1184.9393,1183.9841,-0.9552,-0.0806,0.9992,0.9367,0.1632,-0.7735
1319.7426,1309.4443,-10.2983,-0.7803,0.9984,12.9475,145.9036,132.9561
1392.6805,1381.9223,-10.7582,-0.7725,0.9992,0.2946,84.9443,84.6497
1412.9875,1412.1002,-0.8873,-0.0628,0.9980,23.0673,123.4935,100.4262
1470.1196,1450.3122,-19.8075,-1.3473,0.9999,11.1066,61.4526,50.3460
1687.4235,1666.4365,-20.9869,-1.2437,0.9993,19.2429,806.5579,787.3150
1846.1780,1840.8826,-5.2953,-0.2868,0.9987,256.2058,362.9403,106.7345
3053.2515,3071.3819,18.1304,0.5938,1.0000,17.1131,19.1111,1.9980
3090.6928,3106.3004,15.6076,0.5050,1.0000,9.6996,31.9930,22.2934
3497.8809,3514.0351,16.1542,0.4618,0.9997,0.3621,446.8160,446.4539
3572.6161,3580.4702,7.8541,0.2198,0.9996,0.9709,863.9665,862.9956
3746.2802,3761.7370,15.4568,0.4126,0.9998,41.6802,620.6087,578.9285
