DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
62.7026,68.2716,5.5690,8.8817,0.9995,6.5061,4.6090,-1.8971
230.6567,200.2021,-30.4547,-13.2035,0.9985,48.9898,51.3013,2.3115
259.4495,258.4857,-0.9637,-0.3715,0.9999,9.9650,3.9990,-5.9660
463.4821,467.6029,4.1208,0.8891,0.9998,32.4756,19.1761,-13.2995
509.7619,506.5598,-3.2022,-0.6282,0.9954,32.8071,36.5729,3.7658
636.8517,639.3460,2.4944,0.3917,0.9991,8.6752,3.8990,-4.7762
671.9796,647.7494,-24.2302,-3.6058,0.9973,102.0848,79.2376,-22.8472
829.6584,830.9383,1.2799,0.1543,0.9707,75.9721,108.3658,32.3937
926.0826,916.3270,-9.7555,-1.0534,0.9997,3.6437,3.2944,-0.3493
943.9386,921.0599,-22.8787,-2.4238,0.9873,162.6510,79.7415,-82.9095
1140.6514,1146.2036,5.5523,0.4868,0.9873,124.1561,130.5763,6.4202
1175.6523,1175.7028,0.0505,0.0043,0.9926,154.1015,58.0648,-96.0367
1184.9393,1183.9841,-0.9552,-0.0806,0.9992,0.9367,0.0074,-0.9293
1319.7426,1309.4443,-10.2983,-0.7803,0.9984,12.9475,7.2312,-5.7163
1392.6805,1381.9223,-10.7582,-0.7725,0.9992,0.2946,0.1335,-0.1611
1412.9875,1412.1002,-0.8873,-0.0628,0.9980,23.0673,6.5558,-16.5115
1470.1196,1450.3122,-19.8075,-1.3473,0.9999,11.1066,16.3533,5.2467
1687.4235,1666.4365,-20.9869,-1.2437,0.9993,19.2429,37.1418,17.8989
1846.1780,1840.8826,-5.2953,-0.2868,0.9987,256.2058,195.8020,-60.4038
3053.2515,3071.3819,18.1304,0.5938,1.0000,17.1131,9.3831,-7.7300
3090.6928,3106.3004,15.6076,0.5050,1.0000,9.6996,2.6235,-7.0761
3497.8809,3514.0351,16.1542,0.4618,0.9997,0.3621,0.0721,-0.2900
3572.6161,3580.4702,7.8541,0.2198,0.9996,0.9709,10.0240,9.0531
3746.2802,3761.7370,15.4568,0.4126,0.9998,41.6802,84.9574,43.2772
