Coordinate,Atom,Symbol,Direction,Mu_Plus_X,Mu_Plus_Y,Mu_Plus_Z,Mu_Plus_Mag,Mu_Minus_X,Mu_Minus_Y,Mu_Minus_Z,Mu_Minus_Mag,dMu_X_e,dMu_Y_e,dMu_Z_e,dMu_Magnitude
Atom0_x,0,C,x,0.73749515,0.67028700,0.00000000,0.99658605,0.73565732,0.67028700,0.00000000,0.99522678,0.18378313,0.00000000,0.00000000,0.18378313
Atom0_y,0,C,y,0.73657623,0.67120591,0.00000000,0.99652492,0.73657623,0.66936808,0.00000000,0.99528799,0.00000000,0.18378313,0.00000000,0.18378313
Atom0_z,0,C,z,0.73657623,0.67028700,0.00091892,0.99590665,0.73657623,0.67028700,-0.00091892,0.99590665,0.00000000,0.00000000,0.18378313,0.18378313
Atom1_x,1,O,x,0.73023487,0.67028700,0.00000000,0.99122532,0.74291759,0.67028700,0.00000000,1.00060542,-1.26827206,0.00000000,0.00000000,1.26827206
Atom1_y,1,O,y,0.73657623,0.66394564,0.00000000,0.99164931,0.73657623,0.67662836,0.00000000,1.00018522,0.00000000,-1.26827206,0.00000000,1.26827206
Atom1_z,1,O,z,0.73657623,0.67028700,-0.00634136,0.99592641,0.73657623,0.67028700,0.00634136,0.99592641,0.00000000,0.00000000,-1.26827206,1.26827206
Atom2_x,2,H,x,0.73716332,0.67028700,0.00000000,0.99634051,0.73598915,0.67028700,0.00000000,0.99547209,0.11741698,0.00000000,0.00000000,0.11741698
Atom2_y,2,H,y,0.73657623,0.67087408,0.00000000,0.99630145,0.73657623,0.66969991,0.00000000,0.99551119,0.00000000,0.11741698,0.00000000,0.11741698
Atom2_z,2,H,z,0.73657623,0.67028700,0.00058708,0.99590640,0.73657623,0.67028700,-0.00058708,0.99590640,0.00000000,0.00000000,0.11741698,0.11741698
Atom3_x,3,H,x,0.73716332,0.67028700,0.00000000,0.99634051,0.73598915,0.67028700,0.00000000,0.99547209,0.11741698,0.00000000,0.00000000,0.11741698
Atom3_y,3,H,y,0.73657623,0.67087408,0.00000000,0.99630145,0.73657623,0.66969991,0.00000000,0.99551119,0.00000000,0.11741698,0.00000000,0.11741698
Atom3_z,3,H,z,0.73657623,0.67028700,0.00058708,0.99590640,0.73657623,0.67028700,-0.00058708,0.99590640,0.00000000,0.00000000,0.11741698,0.11741698
Atom4_x,4,H,x,0.73716332,0.67028700,0.00000000,0.99634051,0.73598915,0.67028700,0.00000000,0.99547209,0.11741698,0.00000000,0.00000000,0.11741698
Atom4_y,4,H,y,0.73657623,0.67087408,0.00000000,0.99630145,0.73657623,0.66969991,0.00000000,0.99551119,0.00000000,0.11741698,0.00000000,0.11741698
Atom4_z,4,H,z,0.73657623,0.67028700,0.00058708,0.99590640,0.73657623,0.67028700,-0.00058708,0.99590640,0.00000000,0.00000000,0.11741698,0.11741698
Atom5_x,5,H,x,0.74023742,0.67028700,0.00000000,0.99861709,0.73291504,0.67028700,0.00000000,0.99320145,0.73223804,0.00000000,0.00000000,0.73223804
Atom5_y,5,H,y,0.73657623,0.67394819,0.00000000,0.99837403,0.73657623,0.66662581,0.00000000,0.99344578,0.00000000,0.73223804,0.00000000,0.73223804
Atom5_z,5,H,z,0.73657623,0.67028700,0.00366119,0.99591295,0.73657623,0.67028700,-0.00366119,0.99591295,0.00000000,0.00000000,0.73223804,0.73223804
